turbine_capacity,htse_ft_capacity,ft_elec_consumption_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight,ProbabilityWeight-htse_ft_capacity,prefix,PointProbability,ProbabilityWeight-turbine_capacity
1000.0,-985.1,-14.9,-1e+200,-1e+200,-1e+200,2878918038.69,9.54629423622e-07,2878918038.69,2878918038.69,2878918038.69,2878918038.69,2878918038.69,500.0,9.11317336446e-13,0.135734072022,0.368421052632,3,1.108033241e-06,0.368421052632
300.0,-285.1,-14.9,-1e+200,-1e+200,-1e+200,273023787.317,5.96643389764e-08,273023787.317,273023787.317,273023787.317,273023787.317,273023787.317,500.0,3.55983334549e-15,0.25,0.5,5,1.108033241e-06,0.5
50.0,-35.1,-14.9,-1e+200,-1e+200,-1e+200,-657827960.768,1.19328677953e-07,-657827960.768,-657827960.768,-657827960.768,-657827960.768,-657827960.768,500.0,1.4239333382e-14,0.0173130193906,0.131578947368,7,0.0,0.131578947368
