turbine_capacity,htse_ft_capacity,ft_elec_consumption_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,prefix,PointProbability,ProbabilityWeight,ProbabilityWeight-htse_ft_capacity,ProbabilityWeight-turbine_capacity
1000.0,-985.1,-14.9,-1e+200,-1e+200,-1e+200,3002671053.9,0.0,3002671053.9,3002671053.9,3002671053.9,3002671053.9,3002671053.9,500.0,0.0,3,1.108033241e-06,0.135734072022,0.368421052632,0.368421052632
300.0,-285.1,-14.9,-1e+200,-1e+200,-1e+200,298016179.979,5.96643389764e-08,298016179.979,298016179.979,298016179.979,298016179.979,298016179.979,500.0,3.55983334549e-15,5,1.108033241e-06,0.25,0.5,0.5
50.0,-35.1,-14.9,-1e+200,-1e+200,-1e+200,-668107219.016,0.0,-668107219.016,-668107219.016,-668107219.016,-668107219.016,-668107219.016,500.0,0.0,7,0.0,0.0173130193906,0.131578947368,0.131578947368
