turbine_capacity,htse_ft_capacity,ft_elec_consumption_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-turbine_capacity,prefix,ProbabilityWeight-htse_ft_capacity,ProbabilityWeight,PointProbability
1000.0,-985.1,-14.9,-1e+200,-1e+200,-1e+200,2337035647.65,0.0,2337035647.65,2337035647.65,2337035647.65,2337035647.65,2337035647.65,500.0,0.0,0.368421052632,3,0.368421052632,0.135734072022,1.108033241e-06
300.0,-285.1,-14.9,-1e+200,-1e+200,-1e+200,191464760.299,2.98321694882e-08,191464760.299,191464760.299,191464760.299,191464760.299,191464760.299,500.0,8.89958336373e-16,0.5,5,0.5,0.25,1.108033241e-06
50.0,-35.1,-14.9,-1e+200,-1e+200,-1e+200,-574969946.6,1.19328677953e-07,-574969946.6,-574969946.6,-574969946.6,-574969946.6,-574969946.6,500.0,1.4239333382e-14,0.131578947368,7,0.131578947368,0.0173130193906,0.0
