turbine_capacity,htse_ft_capacity,ft_elec_consumption_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,scenario_label,location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight,PointProbability,prefix,ProbabilityWeight-turbine_capacity,ProbabilityWeight-htse_ft_capacity
1000.0,-985.1,-14.9,-1e+200,-1e+200,-1e+200,ref,braidwood,3557288516.55,0.0,3557288516.55,3557288516.55,3557288516.55,3557288516.55,3557288516.55,500.0,0.0,0.135734072022,1.108033241e-06,3,0.368421052632,0.368421052632
300.0,-285.1,-14.9,-1e+200,-1e+200,-1e+200,ref,braidwood,510143770.663,1.19328677953e-07,510143770.663,510143770.663,510143770.663,510143770.663,510143770.663,500.0,1.4239333382e-14,0.25,1.108033241e-06,5,0.5,0.5
50.0,-35.1,-14.9,-1e+200,-1e+200,-1e+200,ref,braidwood,-578281599.998,1.19328677953e-07,-578281599.998,-578281599.998,-578281599.998,-578281599.998,-578281599.998,500.0,1.4239333382e-14,0.0173130193906,0.0,7,0.131578947368,0.131578947368
