turbine_capacity,htse_ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,scenario_label,location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight,prefix,PointProbability,ProbabilityWeight-turbine_capacity
1193.0,-1000.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,ref,braidwood,3593883335.84,1936846.06539,3593765102.52,3596774881.42,3592121738.88,3592127307.1,3596340980.42,5.0,3.751372681e+12,0.5,1,0.000838222967309,0.5
2386.0,-1000.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,ref,braidwood,5455217431.3,14911082.0835,5454953973.61,5472171274.26,5432799482.19,5436568254.41,5470640836.04,5.0,2.22340368902e+14,0.5,2,0.000838222967309,0.5
