SteamGen_capacity,Converter1_capacity,NewBOP_capacity,Charger_capacity,TES_capacity,Convert2_capacity,Grid_capacity,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-Charger_capacity,PointProbability,ProbabilityWeight-NewBOP_capacity,prefix,ProbabilityWeight-TES_capacity,ProbabilityWeight
203.0,-203.0,-320.0,-203.0,1100.0,-203.0,-1e+200,419667433.328,17502501.744,418452317.717,437745829.346,402804152.921,404368969.401,435816478.183,3.0,3.063375673e+14,0.5,6.74217907228e-06,0.125,38,0.161812297735,0.0101132686084
203.0,-203.0,-320.0,-203.0,1200.0,-203.0,-1e+200,420246618.463,10154041.4063,422533754.278,431860292.924,406659003.244,406864554.389,431464396.86,7.0,1.03104556881e+14,0.5,6.74217907228e-06,0.125,39,0.0954692556634,0.00596682847896
203.0,-203.0,-320.0,-203.0,1218.0,-203.0,-1e+200,418162218.052,6416197.68563,418371967.276,424964995.619,410939942.039,411524673.167,424506114.025,4.0,4.11675927411e+13,0.5,6.74217907228e-06,0.125,40,0.0145631067961,0.000910194174757
203.0,-203.0,-400.0,-200.0,600.0,-203.0,-1e+200,461918573.013,14461348.7726,463284696.155,483152079.041,431658363.981,433791282.269,481045594.878,20.0,2.09130608322e+14,0.5,6.74217907228e-06,0.125,41,0.0809061488673,0.00505663430421
203.0,-203.0,-400.0,-200.0,700.0,-203.0,-1e+200,462105732.723,10968237.1437,463305526.602,478770367.958,443968066.913,446250184.154,477494636.941,20.0,1.20302226041e+14,0.5,6.74217907228e-06,0.125,42,0.161812297735,0.0101132686084
203.0,-203.0,-400.0,-200.0,800.0,-203.0,-1e+200,466734820.203,10370833.5303,466013430.279,485563093.344,443847656.028,451825480.361,482861955.702,20.0,1.07554188113e+14,0.5,6.74217907228e-06,0.125,43,0.161812297735,0.0101132686084
203.0,-203.0,-400.0,-200.0,900.0,-203.0,-1e+200,461267598.007,15678219.5488,460855500.253,488967535.824,433579838.574,436611468.507,488335408.444,20.0,2.45806568219e+14,0.5,6.74217907228e-06,0.125,44,0.161812297735,0.0101132686084
203.0,-203.0,-400.0,-200.0,1000.0,-203.0,-1e+200,463418082.392,12361185.6287,462275315.085,484396349.835,432168585.948,448922222.025,482781216.002,20.0,1.52798910148e+14,0.5,6.74217907228e-06,0.125,45,0.161812297735,0.0101132686084
203.0,-203.0,-400.0,-200.0,1100.0,-203.0,-1e+200,465445513.812,16113202.7062,466509559.969,489647133.305,434162887.772,439775255.364,486101608.467,20.0,2.59635301452e+14,0.5,6.74217907228e-06,0.125,46,0.161812297735,0.0101132686084
203.0,-203.0,-400.0,-200.0,1200.0,-203.0,-1e+200,462964046.78,13497800.5616,464712829.798,487372500.983,430328546.95,441534272.531,477921242.486,20.0,1.82190620002e+14,0.5,6.74217907228e-06,0.125,47,0.0954692556634,0.00596682847896
203.0,-203.0,-400.0,-200.0,1218.0,-203.0,-1e+200,463665655.985,15457828.8024,465962281.74,487843210.657,425966643.985,432337599.211,484392056.759,20.0,2.38944471284e+14,0.5,6.74217907228e-06,0.125,48,0.0145631067961,0.000910194174757
203.0,-203.0,-380.0,-200.0,600.0,-203.0,-1e+200,453053830.26,9754272.00505,453440589.351,477835914.908,435804470.727,439756241.554,463743856.375,20.0,9.51458223485e+13,0.5,6.74217907228e-06,0.25,49,0.0809061488673,0.0101132686084
203.0,-203.0,-380.0,-200.0,700.0,-203.0,-1e+200,453371567.518,11277132.9404,452667703.732,476359637.865,432146470.797,437061447.746,469875005.56,19.0,1.27173727355e+14,0.5,6.74217907228e-06,0.25,50,0.161812297735,0.0202265372168
203.0,-203.0,-380.0,-200.0,800.0,-203.0,-1e+200,453761555.969,15962292.4446,454047928.682,478807985.724,418607819.577,428774367.214,473332385.881,20.0,2.54794780088e+14,0.5,6.74217907228e-06,0.25,51,0.161812297735,0.0202265372168
203.0,-203.0,-380.0,-200.0,900.0,-203.0,-1e+200,455596263.228,13708758.2491,452913351.017,472799391.096,430015291.614,438354806.733,472570186.647,20.0,1.87930052731e+14,0.5,6.74217907228e-06,0.25,52,0.161812297735,0.0202265372168
203.0,-203.0,-380.0,-200.0,1000.0,-203.0,-1e+200,458177842.991,13249791.5254,457223027.722,489565560.276,433576421.448,436253931.148,476274539.595,20.0,1.75556975467e+14,0.5,6.74217907228e-06,0.25,53,0.161812297735,0.0202265372168
203.0,-203.0,-380.0,-200.0,1100.0,-203.0,-1e+200,456186758.274,13336708.4328,455902050.421,482515980.214,429249150.266,432800270.753,474415401.526,20.0,1.77867791822e+14,0.5,6.74217907228e-06,0.25,54,0.161812297735,0.0202265372168
203.0,-203.0,-380.0,-200.0,1200.0,-203.0,-1e+200,457853955.921,11356658.3636,458237401.131,477045746.895,437294089.263,437297055.089,474479708.773,20.0,1.28973689188e+14,0.5,6.74217907228e-06,0.25,55,0.0954692556634,0.0119336569579
203.0,-203.0,-380.0,-200.0,1218.0,-203.0,-1e+200,458334673.831,13305631.2557,461315316.083,479934532.93,425400677.436,436769857.757,474293453.916,20.0,1.77039823113e+14,0.5,6.74217907228e-06,0.25,56,0.0145631067961,0.00182038834951
203.0,-203.0,-360.0,-200.0,600.0,-203.0,-1e+200,438393703.399,13076117.1303,442787407.511,454765885.791,405916695.247,415254657.743,452465578.97,20.0,1.70984839206e+14,0.5,6.74217907228e-06,0.25,57,0.0809061488673,0.0101132686084
203.0,-203.0,-360.0,-200.0,700.0,-203.0,-1e+200,438271716.076,14281941.8522,440947797.473,460517764.265,408590133.833,415645721.995,455286340.405,20.0,2.03973863068e+14,0.5,6.74217907228e-06,0.25,58,0.161812297735,0.0202265372168
203.0,-203.0,-360.0,-200.0,800.0,-203.0,-1e+200,446984627.363,11464425.2328,443980924.611,473407786.922,427679123.858,430722711.514,461933659.323,18.0,1.31433045917e+14,0.5,6.74217907228e-06,0.25,59,0.161812297735,0.0202265372168
203.0,-203.0,-360.0,-200.0,900.0,-203.0,-1e+200,444690027.738,12603715.7802,445267378.152,468582731.452,420073511.902,423687886.815,465817245.21,20.0,1.58853651468e+14,0.5,6.74217907228e-06,0.25,60,0.161812297735,0.0202265372168
203.0,-203.0,-360.0,-200.0,1000.0,-203.0,-1e+200,442360107.712,16685672.8902,445612766.946,473169043.245,412694296.844,413941767.302,463232301.878,20.0,2.78411679799e+14,0.5,6.74217907228e-06,0.25,61,0.161812297735,0.0202265372168
203.0,-203.0,-360.0,-200.0,1100.0,-203.0,-1e+200,446715259.243,13549281.5349,446024476.616,470764149.795,423629684.81,429808080.794,466699561.19,20.0,1.83583030113e+14,0.5,6.74217907228e-06,0.25,62,0.161812297735,0.0202265372168
203.0,-203.0,-360.0,-200.0,1200.0,-203.0,-1e+200,441426334.787,12380278.4903,443042118.494,466711693.906,417933039.853,421965883.108,456299168.271,20.0,1.53271295497e+14,0.5,6.74217907228e-06,0.25,63,0.0954692556634,0.0119336569579
203.0,-203.0,-360.0,-200.0,1218.0,-203.0,-1e+200,444032737.833,12436569.5404,440621678.212,468445533.685,420494270.342,428656715.907,464775178.868,20.0,1.54668261934e+14,0.5,6.74217907228e-06,0.25,64,0.0145631067961,0.00182038834951
203.0,-203.0,-340.0,-200.0,600.0,-203.0,-1e+200,432445010.665,15544856.982,436344719.803,460710477.602,401530932.22,412123689.515,451095799.53,20.0,2.41642578591e+14,0.5,6.74217907228e-06,0.25,65,0.0809061488673,0.0101132686084
203.0,-203.0,-340.0,-200.0,700.0,-203.0,-1e+200,428872973.115,13491614.5516,429029938.586,451026097.156,406487045.763,413106009.743,450372701.145,19.0,1.82023663208e+14,0.5,6.74217907228e-06,0.25,66,0.161812297735,0.0202265372168
203.0,-203.0,-340.0,-200.0,800.0,-203.0,-1e+200,435210760.509,15043023.3061,432139655.757,472631530.192,416895311.659,417085632.24,459820395.489,18.0,2.26292550188e+14,0.5,6.74217907228e-06,0.25,67,0.161812297735,0.0202265372168
203.0,-203.0,-340.0,-200.0,900.0,-203.0,-1e+200,435143547.514,12685999.9239,436589998.23,454013242.868,405313320.092,414656093.868,452284885.177,19.0,1.6093459407e+14,0.5,6.74217907228e-06,0.25,68,0.161812297735,0.0202265372168
203.0,-203.0,-340.0,-200.0,1000.0,-203.0,-1e+200,429984429.478,14386165.5995,429043160.105,458501710.811,391794081.394,410849156.021,445508052.226,20.0,2.06961760656e+14,0.5,6.74217907228e-06,0.25,69,0.161812297735,0.0202265372168
203.0,-203.0,-340.0,-200.0,1100.0,-203.0,-1e+200,436618931.813,12719779.7223,433527398.159,466302236.038,416155580.708,418907764.758,456347908.038,20.0,1.61792796184e+14,0.5,6.74217907228e-06,0.25,70,0.161812297735,0.0202265372168
