SteamGen_capacity,Converter1_capacity,NewBOP_capacity,Charger_capacity,TES_capacity,Convert2_capacity,Grid_capacity,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-Charger_capacity,PointProbability,ProbabilityWeight-TES_capacity,ProbabilityWeight-NewBOP_capacity,ProbabilityWeight,prefix
203.0,-203.0,-400.0,-195.0,300.0,-203.0,-1e+200,434823001.741,12098900.153,436210274.661,460848075.797,413933064.47,417670565.089,453399445.262,20.0,1.46383384912e+14,0.0333333333333,4.7619047619e-08,0.05,0.0357142857143,5.95238095238e-05,1
203.0,-203.0,-400.0,-195.0,400.0,-203.0,-1e+200,448729408.432,10948113.9681,449578815.17,461113416.255,426250517.343,430225773.471,461102828.676,20.0,1.19861199458e+14,0.0333333333333,4.7619047619e-08,0.1,0.0357142857143,0.000119047619048,2
203.0,-203.0,-400.0,-195.0,500.0,-203.0,-1e+200,455664284.373,10136890.5075,455633752.171,479098139.179,437439397.597,438892315.438,467250640.763,20.0,1.02756549161e+14,0.0333333333333,4.7619047619e-08,0.1,0.0357142857143,0.000119047619048,3
203.0,-203.0,-400.0,-195.0,600.0,-203.0,-1e+200,462405337.439,12765714.2613,461249530.589,482609354.639,435188555.444,444575615.78,482468478.099,20.0,1.629634606e+14,0.0333333333333,4.7619047619e-08,0.1,0.0357142857143,0.000119047619048,4
203.0,-203.0,-400.0,-195.0,700.0,-203.0,-1e+200,462511125.896,11436730.8675,462233173.837,485523981.922,436964885.336,449551386.446,479130224.561,20.0,1.30798812935e+14,0.0333333333333,4.7619047619e-08,0.1,0.0357142857143,0.000119047619048,5
203.0,-203.0,-400.0,-195.0,800.0,-203.0,-1e+200,462640504.019,13428612.3998,462187975.41,490641085.684,432058999.017,442013454.583,482046106.542,20.0,1.80327630983e+14,0.0333333333333,4.7619047619e-08,0.1,0.0357142857143,0.000119047619048,6
203.0,-203.0,-400.0,-195.0,900.0,-203.0,-1e+200,460351317.803,13699010.252,457724290.178,483114552.336,439148125.526,441310937.34,477944668.863,20.0,1.87662881883e+14,0.0333333333333,4.7619047619e-08,0.1,0.0357142857143,0.000119047619048,7
203.0,-203.0,-400.0,-195.0,1000.0,-203.0,-1e+200,464852345.416,10417242.2243,463815324.716,494791065.728,447987618.003,451998671.834,478464313.295,20.0,1.08518935559e+14,0.0333333333333,4.7619047619e-08,0.1,0.0357142857143,0.000119047619048,8
203.0,-203.0,-400.0,-195.0,1100.0,-203.0,-1e+200,465877260.386,15165953.1428,466850951.674,496623216.476,432808382.482,444701180.174,488592408.095,20.0,2.30006134731e+14,0.0333333333333,4.7619047619e-08,0.1,0.0357142857143,0.000119047619048,9
203.0,-203.0,-400.0,-195.0,1200.0,-203.0,-1e+200,464441233.77,14170606.5638,461214337.059,494002618.53,441191383.541,448507545.577,489565979.9,19.0,2.00806090385e+14,0.0333333333333,4.7619047619e-08,0.059,0.0357142857143,7.02380952381e-05,10
203.0,-203.0,-400.0,-195.0,1218.0,-203.0,-1e+200,467819628.043,11956216.943,466874296.499,487530092.038,445587744.4,448819917.72,486570164.362,20.0,1.42951123588e+14,0.0333333333333,4.7619047619e-08,0.05,0.0357142857143,5.95238095238e-05,11
203.0,-203.0,-400.0,-195.0,1300.0,-203.0,-1e+200,462584683.033,13088426.215,463103996.196,484162414.195,435692903.3,439134075.883,484151335.775,20.0,1.71306900785e+14,0.0333333333333,4.7619047619e-08,0.041,0.0357142857143,4.88095238095e-05,12
203.0,-203.0,-380.0,-195.0,300.0,-203.0,-1e+200,427377886.807,15194624.8267,425121770.884,455378990.224,389895830.553,406771107.67,450925107.697,20.0,2.30876623623e+14,0.0333333333333,4.7619047619e-08,0.05,0.0714285714286,0.000119047619048,13
