turbine_capacity,htse_ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,scenario_label,location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-turbine_capacity,ProbabilityWeight,prefix,PointProbability
1193.0,-1000.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,ref,braidwood,3306225995.65,2003974.74498,3305481264.76,3309229813.76,3304363858.21,3304454113.03,3308831832.84,5.0,4.01591477853e+12,0.5,0.5,1,0.000838222967309
2386.0,-1000.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,ref,braidwood,5176987595.38,11629371.3862,5177859325.78,5190512063.5,5161666841.69,5163260469.58,5189462603.76,5.0,1.35242278837e+14,0.5,0.5,2,0.000838222967309
