cfYears,Discharger_Discharger_capex_CashFlow,Discharger_Discharger_capex_intcp_CashFlow,Charger_TES_Charger_capex_CashFlow,TES_TES_capex_CashFlow,Grid_grid_sales_CashFlow
0,-36899673.8328,15328179.8,-215446.888,-16226605.0349,0.0
1,0.0,0.0,0.0,0.0,34800565.4991
2,0.0,0.0,0.0,0.0,24260504.8346
3,0.0,0.0,0.0,0.0,21996017.4981
4,0.0,0.0,0.0,0.0,40946358.4292
5,0.0,0.0,0.0,0.0,34728473.2759
6,0.0,0.0,0.0,0.0,24601597.9903
7,0.0,0.0,0.0,0.0,22062904.1824
8,0.0,0.0,0.0,0.0,39941091.7422
9,0.0,0.0,0.0,0.0,34767477.7827
10,0.0,0.0,0.0,0.0,24353914.6102
11,0.0,0.0,0.0,0.0,22043844.8278
12,0.0,0.0,0.0,0.0,40255732.4534
13,0.0,0.0,0.0,0.0,34612269.2855
14,0.0,0.0,0.0,0.0,24483496.6427
15,0.0,0.0,0.0,0.0,22024605.3126
16,0.0,0.0,0.0,0.0,39777861.5515
17,0.0,0.0,0.0,0.0,34875134.395
18,0.0,0.0,0.0,0.0,24485974.2372
19,0.0,0.0,0.0,0.0,22065175.3862
20,0.0,0.0,0.0,0.0,39898736.5248
21,0.0,0.0,0.0,0.0,34768174.293
22,0.0,0.0,0.0,0.0,24531220.0946
23,0.0,0.0,0.0,0.0,21990317.1217
24,0.0,0.0,0.0,0.0,40075003.1416
25,0.0,0.0,0.0,0.0,34457496.7953
26,0.0,0.0,0.0,0.0,24485218.5265
27,0.0,0.0,0.0,0.0,22325729.2326
28,0.0,0.0,0.0,0.0,39974684.3873
29,0.0,0.0,0.0,0.0,34644501.4101
30,0.0,0.0,0.0,0.0,24267807.4945
