npp_capacity,elec_market_capacity,location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight,PointProbability,ProbabilityWeight-npp_capacity,prefix
1280.0,-1e+200,houston,2861165724.49,75472956.3788,2872523133.16,3020976118.97,2718680361.32,2742870318.29,2967102550.45,25.0,5.69616714456e+15,0.5,0.00078125,0.5,1
2560.0,-1e+200,houston,5643278523.62,173427044.423,5646874284.91,6022762532.42,5285513056.42,5339163835.65,5902356980.78,25.0,3.00769397373e+16,0.5,0.00078125,0.5,2
