iteration,accepted,npp_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,mean_NPV,std_NPV,med_NPV
0.0,first,1193.0,-1170.0,-3863.75,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,8292.0,2225294071.19,5703299.28718,2227394460.45
1.0,rejected,1193.0,-824.659621432,-5610.07912156,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2513.0,2041767954.02,3895447.9791,2040950176.6
2.0,rerun,1193.0,-1170.0,-3863.75,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,8292.0,2221790828.73,4603569.09717,2222398203.39
3.0,accepted,1193.0,-1175.0,-2513.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,16142.4407152,2247406190.79,4987153.1295,2250198839.46
4.0,rejected,1193.0,-1175.0,-4916.24393179,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2513.0,2196205427.62,787282.90674,2196505376.34
5.0,rerun,1193.0,-1175.0,-2513.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,16142.4407152,2246757802.61,2708144.45487,2247910064.12
6.0,rejected,1193.0,-1119.95168635,-4917.29039884,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,26605.2408984,2184900656.23,2310630.11237,2186170867.69
7.0,rerun,1193.0,-1175.0,-2513.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,16142.4407152,2250010268.94,7219660.61659,2252451610.01
8.0,rejected,1193.0,-1125.6192072,-2513.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,8166.00649713,2228093170.15,3283103.48552,2228075686.33
9.0,rerun,1193.0,-1175.0,-2513.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,16142.4407152,2249322805.89,6505220.92112,2251002131.68
10.0,rejected,1193.0,-1175.0,-3614.27106502,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,15890.4106517,2230649934.76,4401422.30054,2232477877.65
11.0,rerun,1193.0,-1175.0,-2513.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,16142.4407152,2252018433.07,3625164.65839,2252531605.65
12.0,rejected,1193.0,-1175.0,-2513.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,12351.4245298,2246723734.85,3550027.85912,2245483999.89
13.0,rerun,1193.0,-1175.0,-2513.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,16142.4407152,2252458588.24,5268724.07661,2253036809.37
14.0,accepted,1193.0,-1175.0,-2513.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,16806.2395412,2252700556.97,4246284.3472,2250311448.9
15.0,rejected,1193.0,-1175.0,-2513.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,17654.1576319,2251062657.65,5535141.95561,2250310038.85
16.0,rerun,1193.0,-1175.0,-2513.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,16806.2395412,2251142844.2,4162579.90313,2251379615.61
17.0,rejected,1193.0,-1175.0,-2513.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,18046.6730322,2249100133.26,6241232.53142,2245844329.51
