npp_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight,PointProbability,ProbabilityWeight-htse_capacity,ProbabilityWeight-ft_capacity,prefix
1193,-1178,-29603.14,-14.9,-1.00E+200,-1.00E+200,-1.00E+200,-1.00E+200,200000,ref,braidwood,illinois,covid,3227426299,511608.1949,3227529617,3227881953,3226764007,3226842471,3227865480,4,2.61743E+11,0.250012501,0.019328735,3.76E-13,0.315634218,0.244938821,10
1193,-1178,-29603.14,-14.9,-1.00E+200,-1.00E+200,-1.00E+200,-1.00E+200,100000,ref,braidwood,illinois,covid,3226587674,224649.9801,3226587597,3226783054,3226392450,3226392652,3226782805,4,50467613556,0.475023751,0.036724596,3.76E-13,0.315634218,0.244938821,7
1193,-1178,-29603.14,-14.9,-1.00E+200,-1.00E+200,-1.00E+200,-1.00E+200,10000,ref,braidwood,illinois,covid,3225794842,38344.35973,3225799417,3225834691,3225745843,3225751811,3225831468,4,1470289923,0.249987499,0.019326802,3.76E-13,0.315634218,0.244938821,4
1193,-1178,-29603.14,-14.9,-1.00E+200,-1.00E+200,-1.00E+200,-1.00E+200,10,ref,braidwood,illinois,covid,3225675050,1403.556877,3225675194,3225676585,3225673226,3225673476,3225676422,4,1969971.907,0.024976249,0.001930941,3.76E-13,0.315634218,0.244938821,1
1193,-1178,-20000,-14.9,-1.00E+200,-1.00E+200,-1.00E+200,-1.00E+200,100000,ref,braidwood,illinois,covid,2420750878,4146596.434,2420227794,2426284885,2416263040,2416802677,2425431397,4,1.72E+13,0.475023751,0.074966875,3.76E-13,0.315634218,0.5,19
1193,-1178,-20000,-14.9,-1.00E+200,-1.00E+200,-1.00E+200,-1.00E+200,200000,ref,braidwood,illinois,covid,2418620734,4016626.963,2417496864,2423990526,2415498682,2415511995,2423302891,4,1.61E+13,0.250012501,0.03945625,3.76E-13,0.315634218,0.5,22
1193,-1178,-20000,-14.9,-1.00E+200,-1.00E+200,-1.00E+200,-1.00E+200,10000,ref,braidwood,illinois,covid,2345227244,5490194.202,2347389515,2349047946,2337082000,2338589432,2348837877,4,3.01E+13,0.249987499,0.039452304,3.76E-13,0.315634218,0.5,16
1193,-1178,-20000,-14.9,-1.00E+200,-1.00E+200,-1.00E+200,-1.00E+200,10,ref,braidwood,illinois,covid,2306213903,2511269.589,2305549182,2309794536,2303962711,2304160027,2309198388,4,6.31E+12,0.024976249,0.003941679,3.76E-13,0.315634218,0.5,13
1193,-500,-10000,-14.9,-1.00E+200,-1.00E+200,-1.00E+200,-1.00E+200,200000,ref,braidwood,illinois,covid,2120833175,13577715.15,2120958358,2134516858,2106899126,2107618462,2133872632,4,1.84E+14,0.250012501,0.011756726,3.76E-13,0.184365782,0.255061179,36
1193,-500,-10000,-14.9,-1.00E+200,-1.00E+200,-1.00E+200,-1.00E+200,100000,ref,braidwood,illinois,covid,2120633739,8001375.791,2120035802,2129633510,2112829843,2113164841,2128939750,4,6.40E+13,0.475023751,0.02233778,3.76E-13,0.184365782,0.255061179,33
