hour,price
1,22.08
2,16.32
3,17.69
4,17.59
5,18.14
6,17.35
7,17.18
8,17.64
9,17.59
10,19.4
11,32.28
12,22.91
13,24.29
14,23.1
15,22.47
16,22.93
17,28.76
18,30.11
19,22.97
20,22.43
21,22.19
22,22.34
23,22.71
24,20.35
25,19.75
26,19.84
27,18.53
28,17.93
29,20.07
30,21.94
31,21.81
32,29.3
33,38.99
34,30.83
35,24.52
36,23.49
37,25.38
38,18.6
39,19.01
40,22.72
41,21.48
42,25.17
43,25.06
44,22.39
45,25.31
46,23.46
47,22.29
48,18.57
49,17.78
50,17.31
51,17.27
52,17.42
53,17.39
54,16.93
55,17.04
56,18.06
57,19.66
58,23.9
59,23.12
60,27.86
61,24.21
62,22.41
63,23.65
64,24.8
65,35.08
66,24.73
67,25.08
68,28.17
69,27.85
70,24.33
71,23.36
72,22.65
73,22.29
74,17.63
75,19.41
76,39.04
77,40.22
78,29.44
79,104.53
80,42.13
81,59.89
82,26.38
83,158.42
84,73.65
85,42.01
86,41.84
87,57.92
88,39.81
89,35.15
90,31.85
91,45.04
92,135.34
93,212.99
94,45.33
95,34.71
96,23.86
97,18.39
98,25.85
99,37.78
100,33.25
101,29.57
102,41
103,49.46
104,349.54
105,312.73
106,35.29
107,37.83
108,47.21
109,45.28
110,50.84
111,37.28
112,34.1
113,39.75
114,34.53
115,35.29
116,37.91
117,41.98
118,43.61
119,40.39
120,29.7
121,22.63
122,23.87
123,24.74
124,24.38
125,28.26
126,26.12
127,27.96
128,59.21
129,33.6
130,33.01
131,30.64
132,30.24
133,30.25
134,32.32
135,25.96
136,27.83
137,38.39
138,26.3
139,27.67
140,28.42
141,30.57
142,30.85
143,25.68
144,25.03
145,23.31
146,23.09
147,23.3
148,24.56
149,28.73
150,29.21
151,52.02
152,64.71
153,29.04
154,26.74
155,26.67
156,28.56
157,25.14
158,25.94
159,27.06
160,27.78
161,37.34
162,27.57
163,34.46
164,31.92
165,27.62
166,25.64
167,23.29
168,23.06
