npp_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,prefix,ProbabilityWeight-htse_capacity,PointProbability,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight,ProbabilityWeight-ft_capacity
1193.0,-1178.0,-29603.14,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,ref,braidwood,illinois,covid,2997735053.59,482.770157653,2997734987.14,2997735650.11,2997734589.98,2997734612.87,2997735587.34,4.0,233067.02512,1,0.315634218289,3.76215239928e-13,0.0249762488124,0.00193094060277,0.244938821026
1193.0,-1178.0,-29603.14,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,100000.0,ref,braidwood,illinois,covid,2997989475.04,215627.231711,2997961610.69,2998265099.17,2997769579.61,2997786010.49,2998231949.67,4.0,46495103055.6,7,0.315634218289,3.76215239928e-13,0.475023751188,0.0367245960488,0.244938821026
1193.0,-1178.0,-20000.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,ref,braidwood,illinois,covid,2188587169.18,5973919.21918,2186348422.25,2197192706.56,2184459125.63,2184483946.5,2195824637.55,4.0,3.56877108373e+13,13,0.315634218289,3.76215239928e-13,0.0249762488124,0.00394167938485,0.5
1193.0,-1178.0,-20000.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10000.0,ref,braidwood,illinois,covid,2239637980.92,1830732.60519,2239368315.61,2242086974.28,2237728318.19,2237919724.54,2241733768.75,4.0,3.35158187169e+12,16,0.315634218289,3.76215239928e-13,0.249987499375,0.0394523044736,0.5
1193.0,-1178.0,-29603.14,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,200000.0,ref,braidwood,illinois,covid,2998892842.87,193066.242893,2998960036.4,2999040386.74,2998610911.92,2998659118.9,2999032495.88,4.0,37274574144.8,10,0.315634218289,3.76215239928e-13,0.250012500625,0.0193287347625,0.244938821026
1193.0,-1178.0,-29603.14,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10000.0,ref,braidwood,illinois,covid,2997752592.76,26899.1442301,2997752220.99,2997780534.72,2997725394.32,2997726714.35,2997778991.63,4.0,723563960.311,4,0.315634218289,3.76215239928e-13,0.249987499375,0.019326801889,0.244938821026
1193.0,-1178.0,-20000.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,100000.0,ref,braidwood,illinois,covid,2309090181.97,3386406.54596,2309182998.45,2313120679.66,2304874051.29,2305456282.75,2312594138.1,4.0,1.14677492946e+13,19,0.315634218289,3.76215239928e-13,0.475023751188,0.0749668751874,0.5
1193.0,-1178.0,-20000.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,200000.0,ref,braidwood,illinois,covid,2299305139.99,4134898.43623,2299546928.61,2304112926.28,2294013776.47,2294817361.47,2303454414.45,4.0,1.70973850779e+13,22,0.315634218289,3.76215239928e-13,0.250012500625,0.0394562500986,0.5
1193.0,-500.0,-10000.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,ref,braidwood,illinois,covid,2057949558.65,7358342.31333,2058705125.78,2065521444.01,2048866539.05,2049850986.63,2064990336.7,4.0,5.41452016002e+13,27,0.184365781711,3.76215239928e-13,0.0249762488124,0.00117449695215,0.255061178974
1193.0,-1178.0,-10000.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10000.0,ref,braidwood,illinois,covid,1408398033.89,7030969.56458,1408349646.34,1415380144.58,1401512698.3,1401772349.84,1415091460.51,4.0,4.9434533018e+13,28,0.315634218289,3.76215239928e-13,0.249987499375,0.0201255025846,0.255061178974
1193.0,-750.0,-10000.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10000.0,ref,braidwood,illinois,covid,1844275797.02,8637151.36057,1844202053.47,1853969549.67,1834729531.48,1835490663.39,1853164171.62,4.0,7.46003836253e+13,29,0.5,3.76215239928e-13,0.249987499375,0.0318810531597,0.255061178974
1193.0,-500.0,-10000.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10000.0,ref,braidwood,illinois,covid,2076820994.4,4237798.42146,2075275783.96,2082900463.64,2073831946.05,2073858574.72,2081946708.7,4.0,1.7958935461e+13,30,0.184365781711,3.76215239928e-13,0.249987499375,0.0117555505751,0.255061178974
1193.0,-750.0,-10000.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,ref,braidwood,illinois,covid,1786082560.44,7688235.43703,1788495311.38,1792428608.4,1774911010.6,1776865930.5,1791921339.07,4.0,5.91089641352e+13,26,0.5,3.76215239928e-13,0.0249762488124,0.00318523573423,0.255061178974
1193.0,-1178.0,-10000.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,ref,braidwood,illinois,covid,1368459234.87,9011581.49324,1370539775.22,1376010932.16,1356746456.88,1358138364.48,1375867348.77,4.0,8.12086010093e+13,25,0.315634218289,3.76215239928e-13,0.0249762488124,0.00201073878208,0.255061178974
1193.0,-1178.0,-10000.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,100000.0,ref,braidwood,illinois,covid,1470635181.41,7130509.69855,1469685079.77,1479663070.34,1463507495.76,1463978908.22,1478621596.9,4.0,5.08441685612e+13,31,0.315634218289,3.76215239928e-13,0.475023751188,0.0382422791387,0.255061178974
1193.0,-750.0,-10000.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,100000.0,ref,braidwood,illinois,covid,1877809649.91,6777806.21839,1877226710.02,1885501790.05,1871283389.56,1871544037.85,1884891377.83,4.0,4.59386571341e+13,32,0.5,3.76215239928e-13,0.475023751188,0.0605800590094,0.255061178974
1193.0,-750.0,-10000.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,200000.0,ref,braidwood,illinois,covid,1869998459.73,13780864.8724,1869791414.11,1884988312.12,1855422698.57,1856357082.9,1883929700.41,4.0,1.8991223663e+14,35,0.5,3.76215239928e-13,0.250012500625,0.0318842415839,0.255061178974
1193.0,-500.0,-10000.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,200000.0,ref,braidwood,illinois,covid,2081254146.94,10285069.2932,2078285700.29,2095191795.96,2073253391.24,2073325330.18,2093338789.02,4.0,1.05782650367e+14,36,0.184365781711,3.76215239928e-13,0.250012500625,0.0117567262477,0.255061178974
1193.0,-500.0,-10000.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,100000.0,ref,braidwood,illinois,covid,2089657616.55,9747514.99244,2087703651.12,2102779546.63,2080443617.33,2081054461.63,2100996323.07,4.0,9.50140485279e+13,33,0.184365781711,3.76215239928e-13,0.475023751188,0.0223377798707,0.255061178974
1193.0,-1178.0,-10000.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,200000.0,ref,braidwood,illinois,covid,1456348955.33,12719505.1105,1454215335.37,1473726450.92,1443238699.67,1444720994.48,1470963984.13,4.0,1.61785810255e+14,34,0.315634218289,3.76215239928e-13,0.250012500625,0.0201275153361,0.255061178974
