iteration,accepted,H2_storage_capacity,H2_market_capacity,Secondary_capacity,E_Penalty_capacity,IES_delta_cap,NPP_bid_adjust,mean_NPV
0.0,first,50000.0,-1.0,10000.0,-10000.0,0.25,5000.0,31219340437.4
1.0,rejected,206568.029085,0.0,10000.0,-10000.0,0.0,9589.66085482,31147744946.9
2.0,rerun,50000.0,-1.0,10000.0,-10000.0,0.25,5000.0,31215218469.0
3.0,rejected,63495.6162245,-8.22314465442,10000.0,-10000.0,0.0,44963.7483421,27998696890.5
4.0,rerun,50000.0,-1.0,10000.0,-10000.0,0.25,5000.0,31119087614.9
5.0,accepted,0.0,0.0,10000.0,-10000.0,1.63210927941,32701.4750077,31401663079.1
6.0,rejected,251642.864374,0.0,10000.0,-10000.0,1.13305986295,76640.8001066,31362510270.3
7.0,rerun,0.0,0.0,10000.0,-10000.0,1.63210927941,32701.4750077,31085120750.9
8.0,rejected,0.0,-8.805857097,10000.0,-10000.0,0.889235595372,42799.7555161,27495683289.5
9.0,rerun,0.0,0.0,10000.0,-10000.0,1.63210927941,32701.4750077,31615171753.1
10.0,accepted,0.0,0.0,10000.0,-10000.0,0.0,20891.1305941,31667115937.6
11.0,rejected,0.0,0.0,10000.0,-10000.0,0.0,13025.0388636,31321225377.3
12.0,rerun,0.0,0.0,10000.0,-10000.0,0.0,20891.1305941,31225404670.0
13.0,rejected,325332.210134,-5.34651939089,10000.0,-10000.0,0.178031905163,16881.9148292,29095413101.1
14.0,rerun,0.0,0.0,10000.0,-10000.0,0.0,20891.1305941,31748565769.4
15.0,rejected,0.0,0.0,10000.0,-10000.0,0.0,0.0,31455972825.0
16.0,rerun,0.0,0.0,10000.0,-10000.0,0.0,20891.1305941,31531154135.8
17.0,accepted,0.0,0.0,10000.0,-10000.0,0.0,40168.1662892,31683537657.6
18.0,accepted,0.0,0.0,10000.0,-10000.0,0.0,27072.4204898,31733168522.0
19.0,rejected,0.0,0.0,10000.0,-10000.0,0.0,16943.4665786,31577125848.6
20.0,rerun,0.0,0.0,10000.0,-10000.0,0.0,27072.4204898,31183103983.1
21.0,rejected,56850.3463264,-4.42125195209,10000.0,-10000.0,0.658586077364,27483.5908249,29793942975.7
22.0,rerun,0.0,0.0,10000.0,-10000.0,0.0,27072.4204898,31788308890.5
