hour,price
1,259.89
2,112.93
3,192.669999
4,103.430001
5,214.03
6,136.37
7,83.369999
8,86.46
9,75.66
10,40.389999
11,89.81
12,110.750001
13,85.489999
14,71.18
15,71.43
16,72.050001
17,123.410001
18,164.489999
19,177.11
20,199.03
21,149.21
22,124.29
23,79.790001
24,100.08
25,169.83
26,164.77
27,309.11
28,165.320001
29,121.87
30,161.419999
31,192.17
32,170.06
33,165.13
34,116.78
35,126.98
36,132.94
37,134.28
38,77.38
39,96.97
40,101.66
41,136.64
42,134.21
43,179.219999
44,124.24
45,157.21
46,118.49
47,59.48
48,98.38
49,104.57
50,173.83
51,142.64
52,172.929999
53,189.33
54,282.599999
55,212.69
56,110.9
57,118.19
58,118.829999
59,122.06
60,147.43
61,113.7
62,134.609999
63,113.17
64,135.91
65,161.55
66,183.98
67,100.88
68,108.92
69,109.84
70,66.24
71,57.44
72,44.39
73,57
74,36.52
75,49.6
76,56.48
77,63.720001
78,65.56
79,100.46
80,131.040001
81,127.179999
82,261.84
83,248.45
84,193.89
85,178.509999
86,127.260001
87,113.67
88,102.44
89,128.97
90,183.65
91,130.51
92,160.03
93,274.529999
94,169.18
95,154.71
96,137.6
97,179.77
98,182.63
99,211.880001
100,126.93
101,96.44
102,71.96
103,78.73
104,185.87
105,191.130001
106,195.01
107,152.149999
108,192.46
109,253.96
110,156.980001
111,186.23
112,144.82
113,277.87
114,331.330001
115,163.96
116,191.7
117,198.01
118,320.46
119,332.9
120,206.61
121,381.53
122,135.4
123,244.430001
124,386.12
125,184.1
126,129.17
127,171.02
128,188.059999
129,388.82
130,290.37
131,215.26
132,192.77
133,174.179999
134,155.26
135,205.86
136,138.3
137,285.750001
138,293.67
139,272.54
140,219.65
141,215.499999
142,250.95
143,273.319999
144,143.730001
145,279.79
146,182.54
147,361.440001
148,275.29
149,491.68
150,424.939999
151,388.7
152,586.220001
153,240.96
154,282.52
155,181.550001
156,122.410001
157,116.28
158,120.550001
159,95.660001
160,91.99
161,170.41
162,158.17
163,130.83
164,112.92
165,88.04
166,69.93
167,77.620001
168,97.17
169,106.41
170,56.42
171,102.07
172,92.63
173,82.3
174,71.39
175,144.17
176,164.59
177,120.769999
178,117.28
179,153.17
180,100.28
181,110.4
182,48.23
183,112.07
184,126.959999
185,123.880001
186,116.54
187,76.66
188,61.47
189,73.199999
190,57.8
191,36.95
192,41.27
193,29.86
194,43.01
195,43.230001
196,45.520001
197,56.309999
198,44.53
199,97.610001
200,101.66
201,58.29
202,41.240001
203,39.53
204,37.65
205,30.3
206,29.270001
207,27.55
208,27.6
209,28.389999
210,63.369999
211,37.46
212,42.79
213,36.36
214,33.14
215,26.44
216,24.28
217,29.770001
