RAVEN_sample_ID,Year,_ROM_Cluster,hour,scaling,Dispatch__turbine__production__electricity,Dispatch__htse__production__electricity,Dispatch__htse__production__h2,Dispatch__ft__production__naphta,Dispatch__ft__production__h2,Dispatch__ft__production__diesel,Dispatch__ft__production__jet_fuel,Dispatch__ft_elec_consumption__production__electricity,Dispatch__elec_market__production__electricity,Dispatch__naphta_market__production__naphta,Dispatch__jet_fuel_market__production__jet_fuel,Dispatch__diesel_market__production__diesel,Dispatch__h2_storage__level__h2,Dispatch__h2_storage__charge__h2,Dispatch__h2_storage__discharge__h2,price,ProbabilityWeight,prefix,ProbabilityWeight-h2_storage_capacity,PointProbability
0,2021,0,0.0,1.0,1000.0,-50.0,1.2565,1.0372642,-1.5,0.69622642,1.2566038,-14.9,-935.1,-1.0372642,-1.2566038,-0.69622642,9.7433285,0.0,0.2435,19.4048903885,1.0,1,1.0,1e-300
0,2021,0,1.0,1.0,1000.0,-50.0,1.2565,1.0372642,-1.5,0.69622642,1.2566038,-14.9,-935.1,-1.0372642,-1.2566038,-0.69622642,9.4866569,0.0,0.2435,19.4024481122,1.0,1,1.0,1e-300
0,2021,0,2.0,1.0,1000.0,-50.0,1.2565,1.0372642,-1.5,0.69622642,1.2566038,-14.9,-935.1,-1.0372642,-1.2566038,-0.69622642,9.2299854,0.0,0.2435,19.1557970222,1.0,1,1.0,1e-300
0,2021,0,3.0,1.0,1000.0,-50.0,1.2565,1.0372642,-1.5,0.69622642,1.2566038,-14.9,-935.1,-1.0372642,-1.2566038,-0.69622642,8.9733139,0.0,0.2435,19.0596486607,1.0,1,1.0,1e-300
0,2021,0,4.0,1.0,1000.0,-50.0,1.2565,1.0372642,-1.5,0.69622642,1.2566038,-14.9,-935.1,-1.0372642,-1.2566038,-0.69622642,8.7166423,0.0,0.2435,25.5910491086,1.0,1,1.0,1e-300
0,2021,0,5.0,1.0,1000.0,-50.0,1.2565,1.0372642,-1.5,0.69622642,1.2566038,-14.9,-935.1,-1.0372642,-1.2566038,-0.69622642,8.4599708,0.0,0.2435,24.8165247022,1.0,1,1.0,1e-300
0,2021,0,6.0,1.0,1000.0,-50.0,1.2565,1.0372642,-1.5,0.69622642,1.2566038,-14.9,-935.1,-1.0372642,-1.2566038,-0.69622642,8.2032992,0.0,0.2435,27.5130524267,1.0,1,1.0,1e-300
0,2021,0,7.0,1.0,1000.0,-50.0,1.2565,1.0372642,-1.5,0.69622642,1.2566038,-14.9,-935.1,-1.0372642,-1.2566038,-0.69622642,7.9466277,0.0,0.2435,21.0803227048,1.0,1,1.0,1e-300
0,2021,0,8.0,1.0,1000.0,-50.0,1.2565,1.0372642,-1.5,0.69622642,1.2566038,-14.9,-935.1,-1.0372642,-1.2566038,-0.69622642,7.6899562,0.0,0.2435,27.3706774623,1.0,1,1.0,1e-300
0,2021,0,9.0,1.0,1000.0,-5.0404703,0.12666702,1.0372642,-1.5,0.69622642,1.2566038,-14.9,-980.05953,-1.0372642,-1.2566038,-0.69622642,6.2423361,0.0,1.373333,32.1844890426,1.0,1,1.0,1e-300
