SteamGen_capacity,Converter1_capacity,NewBOP_capacity,Charger_capacity,TES_capacity,Convert2_capacity,Grid_capacity,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,prefix,ProbabilityWeight-TES_capacity,ProbabilityWeight-Charger_capacity,ProbabilityWeight,PointProbability,ProbabilityWeight-NewBOP_capacity
203.0,-203.0,-400.0,-203.0,300.0,-203.0,-1e+200,273623373.803,349326.267697,273633234.363,274100410.372,272936377.538,273046648.857,274020117.74,11.0,122028841303.0,1,0.15,0.0454545454545,0.000324675324675,1.443001443e-07,0.047619047619
203.0,-203.0,-400.0,-203.0,600.0,-203.0,-1e+200,281565201.733,371370.238111,281524108.412,282489823.206,281112117.402,281162397.848,282100014.633,11.0,137915853755.0,2,0.25,0.0454545454545,0.000541125541126,1.443001443e-07,0.047619047619
203.0,-203.0,-400.0,-203.0,800.0,-203.0,-1e+200,282171023.902,266912.973394,282140760.559,282626571.202,281611289.746,281785119.218,282534206.034,12.0,71242535365.9,3,0.15,0.0454545454545,0.000324675324675,1.443001443e-07,0.047619047619
203.0,-203.0,-400.0,-203.0,900.0,-203.0,-1e+200,281817971.174,321179.243557,281723326.104,282420921.32,281391804.47,281490200.488,282414908.456,14.0,103156106492.0,4,0.1,0.0454545454545,0.00021645021645,1.443001443e-07,0.047619047619
203.0,-203.0,-400.0,-203.0,1000.0,-203.0,-1e+200,281442925.801,372297.200433,281492842.575,281924728.267,280498315.256,280820080.551,281819589.633,13.0,138605205450.0,5,0.1,0.0454545454545,0.00021645021645,1.443001443e-07,0.047619047619
203.0,-203.0,-400.0,-203.0,1100.0,-203.0,-1e+200,281010258.266,387331.157731,280865121.388,281747181.755,280553143.149,280557674.147,281563584.957,11.0,150025425749.0,6,0.1,0.0454545454545,0.00021645021645,1.443001443e-07,0.047619047619
203.0,-203.0,-400.0,-203.0,1200.0,-203.0,-1e+200,280490352.638,287052.105921,280461061.6,281108594.489,280018393.734,280161864.342,280933295.456,15.0,82398911513.6,7,0.059,0.0454545454545,0.000127705627706,1.443001443e-07,0.047619047619
203.0,-203.0,-400.0,-203.0,1218.0,-203.0,-1e+200,280331555.918,326225.976566,280319765.591,281019161.229,279805010.166,279815635.901,280752357.463,18.0,106423387786.0,8,0.05,0.0454545454545,0.000108225108225,1.443001443e-07,0.047619047619
203.0,-203.0,-380.0,-203.0,300.0,-203.0,-1e+200,272488544.379,408021.404852,272615439.061,272976396.994,271826409.206,271920476.862,272968161.811,11.0,166481466818.0,10,0.15,0.0454545454545,0.000649350649351,1.443001443e-07,0.0952380952381
203.0,-203.0,-380.0,-203.0,600.0,-203.0,-1e+200,278651740.132,371878.256054,278506974.749,279212831.661,278308001.822,278323559.498,279194490.927,7.0,138293437326.0,11,0.25,0.0454545454545,0.00108225108225,1.443001443e-07,0.0952380952381
203.0,-203.0,-400.0,-203.0,1300.0,-203.0,-1e+200,279895452.651,323589.026613,279860267.663,280410699.762,279328957.135,279451977.402,280320986.938,16.0,104709858144.0,9,0.041,0.0454545454545,8.87445887446e-05,1.443001443e-07,0.047619047619
203.0,-203.0,-380.0,-203.0,800.0,-203.0,-1e+200,279118443.685,348769.155726,279102806.842,279839385.838,278438677.642,278674574.592,279653145.247,16.0,121639923986.0,12,0.15,0.0454545454545,0.000649350649351,1.443001443e-07,0.0952380952381
203.0,-203.0,-380.0,-203.0,900.0,-203.0,-1e+200,278632111.715,254972.976651,278692769.614,278968876.512,278028744.063,278305923.828,278922429.29,16.0,65011218822.3,13,0.1,0.0454545454545,0.0004329004329,1.443001443e-07,0.0952380952381
