SteamGen_capacity,Converter1_capacity,NewBOP_capacity,Charger_capacity,TES_capacity,Convert2_capacity,Grid_capacity,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-Charger_capacity,ProbabilityWeight-TES_capacity,ProbabilityWeight-NewBOP_capacity,prefix,PointProbability,ProbabilityWeight
203.0,-203.0,-400.0,-200.0,600.0,-203.0,-1e+200,281349786.028,341302.024278,281368635.72,282216515.26,280781348.477,280878764.225,281896774.571,20.0,116487071776.0,0.5,0.161812297735,0.0714285714286,1,2.31160425335e-06,0.00577901063338
203.0,-203.0,-400.0,-200.0,800.0,-203.0,-1e+200,281755757.807,384801.55019,281681973.09,282656309.615,281185351.691,281214407.337,282290353.553,20.0,148072233028.0,0.5,0.242718446602,0.0714285714286,2,2.31160425335e-06,0.00866851595007
203.0,-203.0,-400.0,-200.0,900.0,-203.0,-1e+200,281796341.219,408829.104816,281938207.488,282320306.183,280727260.684,281223580.327,282316844.711,20.0,167141236945.0,0.5,0.161812297735,0.0714285714286,3,2.31160425335e-06,0.00577901063338
203.0,-203.0,-400.0,-200.0,1000.0,-203.0,-1e+200,281296498.403,594385.554089,281271834.674,282393908.295,280261903.976,280352857.721,282311348.775,20.0,353294186910.0,0.5,0.161812297735,0.0714285714286,4,2.31160425335e-06,0.00577901063338
203.0,-203.0,-400.0,-200.0,1100.0,-203.0,-1e+200,280786114.339,422960.437695,280843296.924,281461481.388,279857163.272,280137096.062,281427198.419,20.0,178895531855.0,0.5,0.161812297735,0.0714285714286,5,2.31160425335e-06,0.00577901063338
203.0,-203.0,-380.0,-200.0,600.0,-203.0,-1e+200,278670204.094,405619.570029,278743698.281,279470681.227,277680662.731,278166996.549,279182168.477,20.0,164527235591.0,0.5,0.161812297735,0.142857142857,8,2.31160425335e-06,0.0115580212668
203.0,-203.0,-400.0,-200.0,1200.0,-203.0,-1e+200,280146402.186,384002.894634,280156304.5,281094232.544,279585145.884,279605768.542,280704133.918,20.0,147458223087.0,0.5,0.0954692556634,0.0714285714286,6,2.31160425335e-06,0.00340961627369
203.0,-203.0,-400.0,-200.0,1218.0,-203.0,-1e+200,280078304.254,484906.450691,279998795.9,281105727.187,279332813.183,279416824.327,281095005.43,20.0,235134265922.0,0.5,0.0145631067961,0.0714285714286,7,2.31160425335e-06,0.000520110957004
203.0,-203.0,-380.0,-200.0,800.0,-203.0,-1e+200,278891032.504,511232.83715,278973542.693,279653085.632,278014177.658,278215248.376,279621412.274,20.0,261359013780.0,0.5,0.242718446602,0.142857142857,9,2.31160425335e-06,0.0173370319001
203.0,-203.0,-380.0,-200.0,900.0,-203.0,-1e+200,278664535.979,434805.097995,278722704.004,279408701.388,277869887.437,277914418.588,279284452.809,19.0,189055473242.0,0.5,0.161812297735,0.142857142857,10,2.31160425335e-06,0.0115580212668
203.0,-203.0,-380.0,-200.0,1000.0,-203.0,-1e+200,278060760.966,371526.064,278062433.512,278665233.42,277569735.972,277619964.011,278660694.822,20.0,138031616231.0,0.5,0.161812297735,0.142857142857,11,2.31160425335e-06,0.0115580212668
203.0,-203.0,-380.0,-200.0,1100.0,-203.0,-1e+200,277616771.04,372169.952644,277566225.334,278214067.891,276923511.191,277070971.467,278134656.191,20.0,138510473651.0,0.5,0.161812297735,0.142857142857,12,2.31160425335e-06,0.0115580212668
203.0,-203.0,-380.0,-200.0,1200.0,-203.0,-1e+200,276661076.255,391848.151133,276607859.543,277762510.894,276070204.322,276285848.528,277491372.165,20.0,153544973547.0,0.5,0.0954692556634,0.142857142857,13,2.31160425335e-06,0.00681923254739
203.0,-203.0,-360.0,-200.0,600.0,-203.0,-1e+200,275561421.362,305464.422986,275577869.529,276092859.414,274964380.15,275050318.031,275976100.0,20.0,93308513710.2,0.5,0.161812297735,0.142857142857,15,2.31160425335e-06,0.0115580212668
203.0,-203.0,-380.0,-200.0,1218.0,-203.0,-1e+200,276611963.129,340045.292459,276580045.596,277126629.362,275810501.749,276049028.425,277028295.41,20.0,115630800924.0,0.5,0.0145631067961,0.142857142857,14,2.31160425335e-06,0.00104022191401
203.0,-203.0,-360.0,-200.0,800.0,-203.0,-1e+200,275370173.984,352067.845818,275342610.567,275932500.95,274780360.453,274862043.976,275905535.603,20.0,123951768059.0,0.5,0.242718446602,0.142857142857,16,2.31160425335e-06,0.0173370319001
203.0,-203.0,-360.0,-200.0,900.0,-203.0,-1e+200,274965075.21,363543.012201,274968872.827,275468063.3,274237298.686,274251298.952,275412126.017,20.0,132163521720.0,0.5,0.161812297735,0.142857142857,17,2.31160425335e-06,0.0115580212668
203.0,-203.0,-360.0,-200.0,1000.0,-203.0,-1e+200,274230286.117,293273.196293,274230241.205,274914127.603,273770546.134,273791109.604,274608688.773,20.0,86009167663.9,0.5,0.161812297735,0.142857142857,18,2.31160425335e-06,0.0115580212668
203.0,-203.0,-360.0,-200.0,1100.0,-203.0,-1e+200,273778154.271,338375.964139,273841776.733,274373253.151,273071425.044,273157691.871,274135168.141,20.0,114498293107.0,0.5,0.161812297735,0.142857142857,19,2.31160425335e-06,0.0115580212668
203.0,-203.0,-360.0,-200.0,1200.0,-203.0,-1e+200,272834639.299,266294.062938,272835868.672,273230906.865,272342924.583,272448742.037,273169562.833,20.0,70912527955.8,0.5,0.0954692556634,0.142857142857,20,2.31160425335e-06,0.00681923254739
203.0,-203.0,-340.0,-200.0,600.0,-203.0,-1e+200,272167891.613,314026.081803,272239787.577,272660746.226,271327580.787,271828099.369,272621612.136,20.0,98612380052.7,0.5,0.161812297735,0.214285714286,22,2.31160425335e-06,0.0173370319001
203.0,-203.0,-360.0,-200.0,1218.0,-203.0,-1e+200,272650374.099,341693.75256,272625123.715,273324289.003,272189671.452,272196300.777,273261603.051,20.0,116754620538.0,0.5,0.0145631067961,0.142857142857,21,2.31160425335e-06,0.00104022191401
203.0,-203.0,-340.0,-200.0,800.0,-203.0,-1e+200,271710639.198,300703.254563,271690078.08,272257538.31,271184798.912,271312366.061,272231359.931,20.0,90422447304.9,0.5,0.242718446602,0.214285714286,23,2.31160425335e-06,0.0260055478502
203.0,-203.0,-340.0,-200.0,900.0,-203.0,-1e+200,271101524.162,304034.440868,271062192.895,271756425.516,270395403.46,270740871.486,271640015.324,20.0,92436941233.7,0.5,0.161812297735,0.214285714286,24,2.31160425335e-06,0.0173370319001
203.0,-203.0,-340.0,-200.0,1000.0,-203.0,-1e+200,270451606.368,300854.028514,270452444.587,271211621.456,269805709.533,270039772.235,270918069.595,20.0,90513146473.3,0.5,0.161812297735,0.214285714286,25,2.31160425335e-06,0.0173370319001
203.0,-203.0,-340.0,-200.0,1100.0,-203.0,-1e+200,269572731.936,303963.232807,269533184.553,270285933.951,269077101.246,269127941.675,270094908.139,20.0,92393646898.2,0.5,0.161812297735,0.214285714286,26,2.31160425335e-06,0.0173370319001
203.0,-203.0,-340.0,-200.0,1200.0,-203.0,-1e+200,268620294.446,325281.942133,268601829.553,269266544.905,267910720.204,268222813.219,269016082.178,20.0,105808341878.0,0.5,0.0954692556634,0.214285714286,27,2.31160425335e-06,0.0102288488211
203.0,-203.0,-340.0,-200.0,1218.0,-203.0,-1e+200,268554527.146,264620.897881,268583065.712,268907024.089,267981229.988,268042571.208,268865737.992,20.0,70024219595.4,0.5,0.0145631067961,0.214285714286,28,2.31160425335e-06,0.00156033287101
203.0,-203.0,-300.0,-200.0,600.0,-203.0,-1e+200,264488735.502,344876.30519,264467644.825,265195068.209,263949404.684,264050447.251,264948398.679,20.0,118939665881.0,0.5,0.161812297735,0.285714285714,29,2.31160425335e-06,0.0231160425335
203.0,-203.0,-300.0,-200.0,800.0,-203.0,-1e+200,263143021.378,329224.067744,263064246.32,263766928.68,262501387.502,262601882.779,263622224.874,20.0,108388486782.0,0.5,0.242718446602,0.285714285714,30,2.31160425335e-06,0.0346740638003
203.0,-203.0,-300.0,-200.0,900.0,-203.0,-1e+200,262183154.467,309294.89116,262186888.896,262605926.294,261662353.569,261803894.152,262586327.551,19.0,95663329697.9,0.5,0.161812297735,0.285714285714,31,2.31160425335e-06,0.0231160425335
203.0,-203.0,-300.0,-200.0,1000.0,-203.0,-1e+200,261270830.287,267448.105967,261299978.496,261842086.709,260813548.117,260862714.152,261796916.999,20.0,71528489385.2,0.5,0.161812297735,0.285714285714,32,2.31160425335e-06,0.0231160425335
203.0,-203.0,-300.0,-200.0,1100.0,-203.0,-1e+200,260207940.807,293199.731138,260171875.389,260651237.262,259535852.703,259796267.959,260615199.936,20.0,85966082339.2,0.5,0.161812297735,0.285714285714,33,2.31160425335e-06,0.0231160425335
203.0,-203.0,-300.0,-200.0,1200.0,-203.0,-1e+200,259143760.082,243568.556785,259162166.696,259714492.519,258751376.604,258852740.766,259502761.6,20.0,59325641854.5,0.5,0.0954692556634,0.285714285714,34,2.31160425335e-06,0.0136384650948
