SteamGen_capacity,Converter1_capacity,NewBOP_capacity,Charger_capacity,TES_capacity,Convert2_capacity,Grid_capacity,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-Charger_capacity,ProbabilityWeight-TES_capacity,ProbabilityWeight-NewBOP_capacity,PointProbability,ProbabilityWeight,prefix
203.0,-203.0,-400.0,-195.0,300.0,-203.0,-1e+200,295265124.389,369703.221884,295307262.316,295935818.294,294409034.601,294821178.384,295797270.704,20.0,136680472271.0,0.0333333333333,0.05,0.0357142857143,4.7619047619e-08,5.95238095238e-05,1
203.0,-203.0,-400.0,-195.0,400.0,-203.0,-1e+200,299630605.643,216096.850908,299662167.356,300028272.101,299205636.422,299282000.439,299867637.514,20.0,46697848972.2,0.0333333333333,0.1,0.0357142857143,4.7619047619e-08,0.000119047619048,2
203.0,-203.0,-400.0,-195.0,500.0,-203.0,-1e+200,301554106.124,407780.270044,301635723.994,302406259.698,300911456.926,300964110.014,302199311.24,20.0,166284748637.0,0.0333333333333,0.1,0.0357142857143,4.7619047619e-08,0.000119047619048,3
203.0,-203.0,-400.0,-195.0,600.0,-203.0,-1e+200,302393582.343,419839.416799,302404096.836,303168045.593,301544653.702,301593795.558,302985256.284,20.0,176265135898.0,0.0333333333333,0.1,0.0357142857143,4.7619047619e-08,0.000119047619048,4
203.0,-203.0,-400.0,-195.0,700.0,-203.0,-1e+200,303090545.639,395664.24476,303037689.392,303864658.349,302410022.929,302528345.946,303800513.621,20.0,156550194581.0,0.0333333333333,0.1,0.0357142857143,4.7619047619e-08,0.000119047619048,5
203.0,-203.0,-400.0,-195.0,800.0,-203.0,-1e+200,303099571.602,473903.608267,303044876.26,304014153.145,302343639.82,302566534.121,303978081.916,20.0,224584629928.0,0.0333333333333,0.1,0.0357142857143,4.7619047619e-08,0.000119047619048,6
203.0,-203.0,-400.0,-195.0,900.0,-203.0,-1e+200,302878670.8,455921.862493,302834357.205,303978732.896,302301152.211,302314339.603,303523606.215,20.0,207864744699.0,0.0333333333333,0.1,0.0357142857143,4.7619047619e-08,0.000119047619048,7
203.0,-203.0,-400.0,-195.0,1000.0,-203.0,-1e+200,302780016.945,426568.238266,302846627.99,303631038.276,301809681.982,302285152.566,303539455.052,20.0,181960461897.0,0.0333333333333,0.1,0.0357142857143,4.7619047619e-08,0.000119047619048,8
203.0,-203.0,-400.0,-195.0,1100.0,-203.0,-1e+200,302281259.012,459711.500879,302367604.458,302987335.97,301357149.344,301363321.501,302883308.801,20.0,211334664040.0,0.0333333333333,0.1,0.0357142857143,4.7619047619e-08,0.000119047619048,9
203.0,-203.0,-400.0,-195.0,1200.0,-203.0,-1e+200,301756502.816,455250.326174,301813614.034,302481477.978,300914073.366,301079822.226,302429993.407,20.0,207252859482.0,0.0333333333333,0.059,0.0357142857143,4.7619047619e-08,7.02380952381e-05,10
203.0,-203.0,-400.0,-195.0,1218.0,-203.0,-1e+200,301637640.27,421523.068377,301620919.234,302533279.613,300753913.245,301158104.678,302238649.992,20.0,177681697174.0,0.0333333333333,0.05,0.0357142857143,4.7619047619e-08,5.95238095238e-05,11
203.0,-203.0,-400.0,-195.0,1300.0,-203.0,-1e+200,301093255.737,454851.269527,301113801.532,302135757.787,300175786.835,300515439.729,301949071.868,20.0,206889677390.0,0.0333333333333,0.041,0.0357142857143,4.7619047619e-08,4.88095238095e-05,12
