SteamGen_capacity,Converter1_capacity,NewBOP_capacity,Charger_capacity,TES_capacity,Convert2_capacity,Grid_capacity,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,PointProbability,ProbabilityWeight-NewBOP_capacity,ProbabilityWeight-Charger_capacity,ProbabilityWeight-TES_capacity,prefix,ProbabilityWeight
203.0,-203.0,-400.0,-203.0,800.0,-203.0,-1e+200,303647639.33,414127.414864,303592575.939,304205137.237,302998335.492,303084882.079,304204728.382,10.0,171501515742.0,8.98957209637e-06,0.166666666667,0.5,0.161812297735,3,0.0134843581446
203.0,-203.0,-400.0,-203.0,600.0,-203.0,-1e+200,303322702.466,321584.69611,303311748.082,303758032.817,302818808.38,302896817.742,303726791.851,7.0,103416716772.0,8.98957209637e-06,0.166666666667,0.5,0.0809061488673,1,0.00674217907228
203.0,-203.0,-400.0,-203.0,700.0,-203.0,-1e+200,303384069.292,543210.308167,303390233.029,304475540.343,302715407.301,302727573.64,304140808.095,9.0,295077438899.0,8.98957209637e-06,0.166666666667,0.5,0.161812297735,2,0.0134843581446
203.0,-203.0,-400.0,-203.0,900.0,-203.0,-1e+200,303601872.686,293452.62773,303603629.608,304137891.577,303195602.181,303207756.533,304032098.218,13.0,86114444721.7,8.98957209637e-06,0.166666666667,0.5,0.161812297735,4,0.0134843581446
203.0,-203.0,-400.0,-203.0,1000.0,-203.0,-1e+200,303442471.122,402489.396268,303439155.696,304187980.645,302792165.434,302913164.417,304075901.62,13.0,161997714108.0,8.98957209637e-06,0.166666666667,0.5,0.161812297735,5,0.0134843581446
203.0,-203.0,-400.0,-203.0,1100.0,-203.0,-1e+200,303005239.734,407598.383372,303043007.699,303777187.908,302389136.757,302418924.034,303631665.129,14.0,166136442127.0,8.98957209637e-06,0.166666666667,0.5,0.161812297735,6,0.0134843581446
203.0,-203.0,-400.0,-203.0,1200.0,-203.0,-1e+200,302671566.467,317970.540485,302570212.65,303441535.799,302328459.683,302346405.727,303243442.706,14.0,101105264616.0,8.98957209637e-06,0.166666666667,0.5,0.0954692556634,7,0.00795577130529
203.0,-203.0,-400.0,-203.0,1218.0,-203.0,-1e+200,302257903.401,443024.706699,302313946.221,303366145.749,301608200.149,301647631.135,302791922.068,15.0,196270890746.0,8.98957209637e-06,0.166666666667,0.5,0.0145631067961,8,0.00121359223301
203.0,-203.0,-380.0,-203.0,600.0,-203.0,-1e+200,300297626.873,348440.874753,300353139.928,300656601.538,299579029.618,299755233.954,300643998.012,9.0,121411043199.0,8.98957209637e-06,0.333333333333,0.5,0.0809061488673,9,0.0134843581446
203.0,-203.0,-380.0,-203.0,800.0,-203.0,-1e+200,300324296.701,411496.791525,300338343.607,300900450.807,299374462.28,299696412.141,300815052.062,10.0,169329609436.0,8.98957209637e-06,0.333333333333,0.5,0.161812297735,11,0.0269687162891
