SteamGen_capacity,Converter1_capacity,NewBOP_capacity,Charger_capacity,TES_capacity,Convert2_capacity,Grid_capacity,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,PointProbability,ProbabilityWeight-NewBOP_capacity,ProbabilityWeight-Charger_capacity,ProbabilityWeight-TES_capacity,prefix,ProbabilityWeight
203.0,-203.0,-380.0,-203.0,700.0,-203.0,-1e+200,300239874.286,355632.82369,300285946.321,300661560.494,299640691.652,299695897.696,300635157.895,10.0,126474705286.0,8.98957209637e-06,0.333333333333,0.5,0.161812297735,10,0.0269687162891
203.0,-203.0,-380.0,-203.0,900.0,-203.0,-1e+200,300070180.872,347117.689687,300043201.189,300650879.224,299536099.521,299563678.713,300613764.525,13.0,120490690494.0,8.98957209637e-06,0.333333333333,0.5,0.161812297735,12,0.0269687162891
203.0,-203.0,-380.0,-203.0,1000.0,-203.0,-1e+200,299686353.165,439331.260389,299661028.63,300590766.589,298932579.18,299127160.23,300344953.899,17.0,193011956355.0,8.98957209637e-06,0.333333333333,0.5,0.161812297735,13,0.0269687162891
203.0,-203.0,-380.0,-203.0,1100.0,-203.0,-1e+200,299005669.14,517601.806264,299204995.607,299639247.873,297927138.573,298086216.176,299560136.725,14.0,267911629848.0,8.98957209637e-06,0.333333333333,0.5,0.161812297735,14,0.0269687162891
203.0,-203.0,-380.0,-203.0,1200.0,-203.0,-1e+200,298610868.043,415933.292432,298567914.665,299444665.218,297909761.171,298093795.414,299354203.392,16.0,173000503753.0,8.98957209637e-06,0.333333333333,0.5,0.0954692556634,15,0.0159115426106
203.0,-203.0,-380.0,-203.0,1218.0,-203.0,-1e+200,298497567.07,356504.139096,298421598.871,299176089.832,298061319.254,298080358.558,299102504.039,16.0,127095201193.0,8.98957209637e-06,0.333333333333,0.5,0.0145631067961,16,0.00242718446602
203.0,-203.0,-360.0,-203.0,600.0,-203.0,-1e+200,296556785.084,202733.961988,296561043.481,296938171.921,296249755.523,296286832.855,296839050.84,9.0,41101059343.4,8.98957209637e-06,0.333333333333,0.5,0.0809061488673,17,0.0134843581446
203.0,-203.0,-360.0,-203.0,700.0,-203.0,-1e+200,296404955.788,330027.107369,296454786.139,296812539.005,295996507.568,296011468.973,296792596.835,8.0,108917891598.0,8.98957209637e-06,0.333333333333,0.5,0.161812297735,18,0.0269687162891
203.0,-203.0,-360.0,-203.0,800.0,-203.0,-1e+200,296437939.782,421536.11334,296468870.208,297180534.846,295434591.968,295760984.272,297047963.265,14.0,177692694850.0,8.98957209637e-06,0.333333333333,0.5,0.161812297735,19,0.0269687162891
203.0,-203.0,-360.0,-203.0,900.0,-203.0,-1e+200,295821536.392,421342.618809,295771839.632,296574361.366,295247952.002,295276292.092,296463874.055,14.0,177529602424.0,8.98957209637e-06,0.333333333333,0.5,0.161812297735,20,0.0269687162891
203.0,-203.0,-360.0,-203.0,1000.0,-203.0,-1e+200,295470541.381,409394.784588,295466873.936,296187272.045,294839613.455,294912717.478,296114750.88,12.0,167604089648.0,8.98957209637e-06,0.333333333333,0.5,0.161812297735,21,0.0269687162891
203.0,-203.0,-360.0,-203.0,1100.0,-203.0,-1e+200,294711717.512,488179.016198,294685463.066,295442177.484,293826385.673,293990513.272,295367344.891,13.0,238318751857.0,8.98957209637e-06,0.333333333333,0.5,0.161812297735,22,0.0269687162891
203.0,-203.0,-360.0,-203.0,1200.0,-203.0,-1e+200,294114576.268,431719.464781,294231666.783,294588535.459,293437321.841,293493571.683,294576380.67,12.0,186381696270.0,8.98957209637e-06,0.333333333333,0.5,0.0954692556634,23,0.0159115426106
203.0,-203.0,-360.0,-203.0,1218.0,-203.0,-1e+200,293909076.017,440996.160121,293995947.712,294442696.481,293140900.249,293162645.701,294378980.801,11.0,194477613242.0,8.98957209637e-06,0.333333333333,0.5,0.0145631067961,24,0.00242718446602
203.0,-203.0,-340.0,-203.0,600.0,-203.0,-1e+200,292597965.227,499726.002731,292720285.615,293290079.092,291896207.791,291967709.493,293208221.235,9.0,249726077805.0,8.98957209637e-06,0.166666666667,0.5,0.0809061488673,25,0.00674217907228
203.0,-203.0,-340.0,-203.0,700.0,-203.0,-1e+200,292385367.147,431413.380798,292251057.874,293134019.729,291710361.098,291783561.807,293091725.548,13.0,186117505132.0,8.98957209637e-06,0.166666666667,0.5,0.161812297735,26,0.0134843581446
203.0,-203.0,-340.0,-203.0,800.0,-203.0,-1e+200,292192152.046,504736.656784,292163661.402,293077900.49,291661438.065,291661495.459,292964290.433,12.0,254759092701.0,8.98957209637e-06,0.166666666667,0.5,0.161812297735,27,0.0134843581446
203.0,-203.0,-340.0,-203.0,900.0,-203.0,-1e+200,291696420.205,453540.49335,291648186.104,292493436.813,291062703.365,291149873.109,292326151.849,12.0,205698979108.0,8.98957209637e-06,0.166666666667,0.5,0.161812297735,28,0.0134843581446
203.0,-203.0,-340.0,-203.0,1000.0,-203.0,-1e+200,291049470.539,402802.778369,290948896.386,291804338.266,290440616.412,290530153.464,291628388.666,15.0,162250078262.0,8.98957209637e-06,0.166666666667,0.5,0.161812297735,29,0.0134843581446
203.0,-203.0,-340.0,-203.0,1100.0,-203.0,-1e+200,290189625.119,372506.004372,290119927.381,291219621.948,289792070.15,289849712.108,290743396.12,12.0,138760723293.0,8.98957209637e-06,0.166666666667,0.5,0.161812297735,30,0.0134843581446
203.0,-203.0,-340.0,-203.0,1200.0,-203.0,-1e+200,289472122.773,440885.631746,289567260.622,290012167.889,288490131.573,288748765.081,289989494.898,17.0,194380140280.0,8.98957209637e-06,0.166666666667,0.5,0.0954692556634,31,0.00795577130529
203.0,-203.0,-400.0,-200.0,600.0,-203.0,-1e+200,302824136.237,439487.531758,302806514.917,303638398.354,302096890.656,302145748.22,303385921.071,20.0,193149290571.0,8.98957209637e-06,0.166666666667,0.5,0.0809061488673,33,0.00674217907228
203.0,-203.0,-340.0,-203.0,1218.0,-203.0,-1e+200,289196540.184,405291.113582,289194447.494,289815349.556,288594347.072,288653278.423,289790008.74,16.0,164260886748.0,8.98957209637e-06,0.166666666667,0.5,0.0145631067961,32,0.00121359223301
203.0,-203.0,-400.0,-200.0,700.0,-203.0,-1e+200,303371192.058,497065.597204,303451806.722,304094408.159,302364129.201,302393117.726,303977863.636,20.0,247074207924.0,8.98957209637e-06,0.166666666667,0.5,0.161812297735,34,0.0134843581446
203.0,-203.0,-400.0,-200.0,800.0,-203.0,-1e+200,303527989.855,449772.876279,303466338.115,304697443.661,302851597.24,303006876.388,304308848.73,20.0,202295640237.0,8.98957209637e-06,0.166666666667,0.5,0.161812297735,35,0.0134843581446
203.0,-203.0,-400.0,-200.0,900.0,-203.0,-1e+200,303440165.266,504239.94846,303496165.665,304398900.267,302599139.452,302776950.134,304142530.769,20.0,254257925623.0,8.98957209637e-06,0.166666666667,0.5,0.161812297735,36,0.0134843581446
203.0,-203.0,-400.0,-200.0,1000.0,-203.0,-1e+200,303101984.063,431849.363773,303008759.304,303781849.386,302455021.799,302564015.093,303757504.219,20.0,186493872991.0,8.98957209637e-06,0.166666666667,0.5,0.161812297735,37,0.0134843581446
203.0,-203.0,-400.0,-200.0,1100.0,-203.0,-1e+200,302733838.186,304374.815074,302796658.143,303118383.634,302103330.156,302291870.502,303112927.248,20.0,92644028051.2,8.98957209637e-06,0.166666666667,0.5,0.161812297735,38,0.0134843581446
203.0,-203.0,-400.0,-200.0,1200.0,-203.0,-1e+200,302057013.463,441233.331301,302000857.582,302868549.429,301188518.334,301347474.157,302826121.52,20.0,194686852651.0,8.98957209637e-06,0.166666666667,0.5,0.0954692556634,39,0.00795577130529
203.0,-203.0,-400.0,-200.0,1218.0,-203.0,-1e+200,302189366.84,419559.125986,302182995.889,302975007.696,301468218.062,301548554.446,302675452.045,20.0,176029860199.0,8.98957209637e-06,0.166666666667,0.5,0.0145631067961,40,0.00121359223301
203.0,-203.0,-380.0,-200.0,600.0,-203.0,-1e+200,299830501.126,479707.288327,299876845.445,300781341.282,298952312.581,299040467.36,300515623.236,20.0,230119082474.0,8.98957209637e-06,0.333333333333,0.5,0.0809061488673,41,0.0134843581446
203.0,-203.0,-380.0,-200.0,700.0,-203.0,-1e+200,300148786.982,428078.02495,300091837.603,300965952.794,299396996.851,299397721.081,300756245.798,20.0,183250795445.0,8.98957209637e-06,0.333333333333,0.5,0.161812297735,42,0.0269687162891
203.0,-203.0,-380.0,-200.0,800.0,-203.0,-1e+200,300011015.607,360722.790364,300026365.086,300841129.569,299366960.913,299439003.349,300408424.65,20.0,130120931488.0,8.98957209637e-06,0.333333333333,0.5,0.161812297735,43,0.0269687162891
203.0,-203.0,-380.0,-200.0,900.0,-203.0,-1e+200,299907835.323,397074.072442,299937401.491,300580411.824,299085555.427,299404189.66,300504139.093,20.0,157667819006.0,8.98957209637e-06,0.333333333333,0.5,0.161812297735,44,0.0269687162891
203.0,-203.0,-380.0,-200.0,1000.0,-203.0,-1e+200,299395385.828,374012.630037,299384288.523,300150973.559,298769090.117,298857818.277,299950005.787,20.0,139885447427.0,8.98957209637e-06,0.333333333333,0.5,0.161812297735,45,0.0269687162891
203.0,-203.0,-380.0,-200.0,1100.0,-203.0,-1e+200,299088243.47,430642.249359,299031391.902,299799948.474,298150320.499,298411817.247,299734612.047,20.0,185452746933.0,8.98957209637e-06,0.333333333333,0.5,0.161812297735,46,0.0269687162891
203.0,-203.0,-380.0,-200.0,1200.0,-203.0,-1e+200,298319169.606,351786.10761,298308040.803,299156253.342,297697830.245,297701115.402,298935842.262,20.0,123753465507.0,8.98957209637e-06,0.333333333333,0.5,0.0954692556634,47,0.0159115426106
203.0,-203.0,-360.0,-200.0,600.0,-203.0,-1e+200,296154085.335,508245.090831,296282161.458,296900056.594,295111702.534,295310613.453,296727366.23,19.0,258313072354.0,8.98957209637e-06,0.333333333333,0.5,0.0809061488673,49,0.0134843581446
203.0,-203.0,-380.0,-200.0,1218.0,-203.0,-1e+200,298091730.501,549067.362361,298122507.352,298890114.556,297018384.372,297278097.324,298841048.585,20.0,301474968410.0,8.98957209637e-06,0.333333333333,0.5,0.0145631067961,48,0.00242718446602
203.0,-203.0,-360.0,-200.0,700.0,-203.0,-1e+200,296219984.498,302955.117296,296219932.356,296635940.865,295601227.794,295806796.223,296595401.229,20.0,91781803095.7,8.98957209637e-06,0.333333333333,0.5,0.161812297735,50,0.0269687162891
203.0,-203.0,-360.0,-200.0,800.0,-203.0,-1e+200,296294648.516,386348.498657,296264728.512,297156787.406,295729698.925,295730976.337,296933301.474,20.0,149265162415.0,8.98957209637e-06,0.333333333333,0.5,0.161812297735,51,0.0269687162891
203.0,-203.0,-360.0,-200.0,900.0,-203.0,-1e+200,295727259.647,431592.20071,295758329.356,296445046.55,294733439.231,295017239.572,296298145.278,20.0,186271827714.0,8.98957209637e-06,0.333333333333,0.5,0.161812297735,52,0.0269687162891
203.0,-203.0,-360.0,-200.0,1000.0,-203.0,-1e+200,295245500.209,421064.098514,295284807.956,296041612.353,294507900.237,294542763.777,295936621.801,20.0,177294975057.0,8.98957209637e-06,0.333333333333,0.5,0.161812297735,53,0.0269687162891
203.0,-203.0,-360.0,-200.0,1100.0,-203.0,-1e+200,294574464.782,322372.657819,294591253.0,295238027.944,294001759.421,294011249.552,295114400.528,20.0,103924130509.0,8.98957209637e-06,0.333333333333,0.5,0.161812297735,54,0.0269687162891
203.0,-203.0,-360.0,-200.0,1200.0,-203.0,-1e+200,293852330.229,485055.089081,293987032.943,294741284.342,293139449.538,293212622.467,294621064.889,20.0,235278439444.0,8.98957209637e-06,0.333333333333,0.5,0.0954692556634,55,0.0159115426106
203.0,-203.0,-340.0,-200.0,600.0,-203.0,-1e+200,292395755.985,482334.499949,292521384.818,293195173.386,291619764.117,291634063.804,293036636.33,19.0,232646569841.0,8.98957209637e-06,0.166666666667,0.5,0.0809061488673,57,0.00674217907228
203.0,-203.0,-360.0,-200.0,1218.0,-203.0,-1e+200,293808036.189,364819.345558,293851033.489,294312254.09,293016419.71,293050871.719,294278547.754,20.0,133093154893.0,8.98957209637e-06,0.333333333333,0.5,0.0145631067961,56,0.00242718446602
203.0,-203.0,-340.0,-200.0,700.0,-203.0,-1e+200,292422162.789,467836.914546,292398260.166,293253125.768,291545879.696,291798888.746,293129725.26,20.0,218871378611.0,8.98957209637e-06,0.166666666667,0.5,0.161812297735,58,0.0134843581446
203.0,-203.0,-340.0,-200.0,800.0,-203.0,-1e+200,291988789.167,419490.124798,292120417.513,292610289.658,291026603.483,291370079.864,292449251.877,20.0,175971964803.0,8.98957209637e-06,0.166666666667,0.5,0.161812297735,59,0.0134843581446
203.0,-203.0,-340.0,-200.0,900.0,-203.0,-1e+200,291382419.235,392571.42433,291411102.767,292011659.153,290532798.228,290806800.151,291889263.254,20.0,154112323200.0,8.98957209637e-06,0.166666666667,0.5,0.161812297735,60,0.0134843581446
203.0,-203.0,-340.0,-200.0,1000.0,-203.0,-1e+200,290987791.591,473928.710323,290989799.954,292123332.884,290375735.827,290401160.129,291911232.484,20.0,224608422468.0,8.98957209637e-06,0.166666666667,0.5,0.161812297735,61,0.0134843581446
203.0,-203.0,-340.0,-200.0,1100.0,-203.0,-1e+200,290253603.453,412783.319712,290249340.301,291121074.819,289610690.347,289727234.668,290914937.57,20.0,170390069032.0,8.98957209637e-06,0.166666666667,0.5,0.161812297735,62,0.0134843581446
203.0,-203.0,-340.0,-200.0,1200.0,-203.0,-1e+200,289224189.789,368051.927266,289255821.167,289881271.276,288652495.837,288679626.047,289782693.403,20.0,135462221164.0,8.98957209637e-06,0.166666666667,0.5,0.0954692556634,63,0.00795577130529
203.0,-203.0,-340.0,-200.0,1218.0,-203.0,-1e+200,289214980.573,316466.106123,289250661.715,289743578.687,288541024.932,288609658.272,289599734.568,20.0,100150796325.0,8.98957209637e-06,0.166666666667,0.5,0.0145631067961,64,0.00121359223301
