npp_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,PointProbability,ProbabilityWeight,ProbabilityWeight-htse_capacity,prefix,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-ft_capacity
1193.0,-1178.0,-29603.14,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,ref,braidwood,illinois,covid,3408425167.5,637.672598478,3408425226.52,3408425881.64,3408424335.32,3408424458.18,3408425794.18,4.0,406626.34285,3.76215239928e-13,0.00193094060277,0.315634218289,1,0.0249762488124,0.244938821026
1193.0,-1178.0,-29603.14,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10000.0,ref,braidwood,illinois,covid,3409505001.27,16239.9695787,3409501983.67,3409526687.9,3409489349.85,3409490439.09,3409523788.1,4.0,263736611.916,3.76215239928e-13,0.019326801889,0.315634218289,4,0.249987499375,0.244938821026
1193.0,-1178.0,-29603.14,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,100000.0,ref,braidwood,illinois,covid,3418614158.4,116127.395177,3418635757.98,3418730487.91,3418454629.71,3418479330.38,3418718746.99,4.0,13485571910.6,3.76215239928e-13,0.0367245960488,0.315634218289,7,0.475023751188,0.244938821026
1193.0,-1178.0,-29603.14,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,200000.0,ref,braidwood,illinois,covid,3429408750.74,567001.103754,3429285626.9,3430144060.95,3428919688.22,3428932916.73,3430056958.13,4.0,321490251659.0,3.76215239928e-13,0.0193287347625,0.315634218289,10,0.250012500625,0.244938821026
1193.0,-1178.0,-20000.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,ref,braidwood,illinois,covid,2635232949.42,5832814.08672,2635355083.4,2640728213.06,2629493417.81,2629711176.31,2640583734.95,4.0,3.40217201702e+13,3.76215239928e-13,0.00394167938485,0.315634218289,13,0.0249762488124,0.5
1193.0,-1178.0,-20000.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10000.0,ref,braidwood,illinois,covid,2694769871.49,4893687.16759,2695767942.78,2698895406.69,2688648193.72,2689300501.1,2698841942.09,4.0,2.39481740943e+13,3.76215239928e-13,0.0394523044736,0.315634218289,16,0.249987499375,0.5
1193.0,-1178.0,-20000.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,100000.0,ref,braidwood,illinois,covid,2794913448.48,5555747.03233,2793683450.79,2802616030.21,2789670862.12,2790096581.52,2801452312.2,4.0,3.08663250872e+13,3.76215239928e-13,0.0749668751874,0.315634218289,19,0.475023751188,0.5
1193.0,-1178.0,-20000.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,200000.0,ref,braidwood,illinois,covid,2798404696.46,6820401.73984,2798582672.75,2806449938.22,2790003502.12,2791073413.53,2805486812.58,4.0,4.65178798928e+13,3.76215239928e-13,0.0394562500986,0.315634218289,22,0.250012500625,0.5
1193.0,-1178.0,-10000.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,ref,braidwood,illinois,covid,1842606060.82,8370721.14486,1841820548.38,1851395574.85,1835387571.68,1835406145.88,1850905693.19,4.0,7.0068972485e+13,3.76215239928e-13,0.00201073878208,0.315634218289,25,0.0249762488124,0.255061178974
1193.0,-750.0,-10000.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,ref,braidwood,illinois,covid,2273877804.71,10203731.017,2275458532.53,2284290764.77,2260303388.99,2262170599.69,2283371990.77,4.0,1.04116126668e+14,3.76215239928e-13,0.00318523573423,0.5,26,0.0249762488124,0.255061178974
