hours,price
400.0,42.05
401.0,45.13
402.0,68.16
403.0,64.55
404.0,55.41
405.0,51.83
406.0,45.17
407.0,40.98
408.0,38.97
409.0,36.78
410.0,35.52
411.0,34.76
412.0,34.67
413.0,35.0
414.0,37.04
415.0,49.28
416.0,54.54
417.0,51.78
418.0,53.4
419.0,53.51
420.0,50.66
421.0,46.4
422.0,44.71
423.0,43.63
424.0,41.53
425.0,44.01
426.0,57.62
427.0,58.79
428.0,50.64
429.0,47.93
430.0,41.63
431.0,39.11
432.0,35.78
433.0,34.02
434.0,32.75
435.0,32.07
436.0,32.33
437.0,33.06
438.0,34.16
439.0,42.17
440.0,48.3
441.0,45.3
442.0,44.53
443.0,44.5
444.0,43.23
445.0,41.13
446.0,40.81
447.0,39.49
448.0,38.93
449.0,41.12
450.0,52.44
451.0,56.81
452.0,51.27
453.0,50.58
454.0,46.87
455.0,40.56
456.0,38.44
457.0,39.04
458.0,36.59
459.0,36.74
460.0,37.34
461.0,37.85
462.0,41.29
463.0,57.53
464.0,73.39
465.0,58.81
466.0,58.95
467.0,61.14
468.0,56.31
469.0,50.31
470.0,49.73
471.0,47.42
472.0,46.74
473.0,51.17
474.0,73.82
475.0,75.46
476.0,64.72
477.0,63.42
478.0,52.12
479.0,43.92
480.0,40.6
481.0,39.16
482.0,38.03
483.0,37.37
484.0,37.32
485.0,38.41
486.0,40.96
487.0,61.6
488.0,68.12
489.0,66.11
490.0,66.71
491.0,71.27
492.0,67.28
493.0,60.89
494.0,58.79
495.0,56.68
496.0,55.6
497.0,62.02
498.0,98.41
499.0,101.44
500.0,92.78
501.0,87.49
502.0,78.99
503.0,66.56
504.0,63.56
505.0,78.55
506.0,76.61
507.0,77.27
508.0,76.34
509.0,77.13
510.0,86.0
511.0,92.91
512.0,95.55
513.0,111.34
514.0,119.38
515.0,114.21
516.0,107.15
517.0,88.59
518.0,80.27
519.0,74.89
520.0,78.54
521.0,87.28
522.0,125.97
523.0,118.56
524.0,114.73
525.0,113.22
526.0,99.04
527.0,86.7
528.0,82.32
529.0,98.08
530.0,93.03
531.0,88.34
532.0,87.93
533.0,90.32
534.0,93.5
535.0,103.34
536.0,105.14
537.0,110.07
538.0,110.16
539.0,96.32
540.0,94.84
541.0,87.63
542.0,83.06
543.0,74.18
544.0,75.95
545.0,92.1
546.0,142.77
547.0,140.66
548.0,132.1
549.0,124.93
550.0,114.26
551.0,95.75
552.0,89.95
553.0,102.99
554.0,99.25
555.0,100.4
556.0,100.95
557.0,105.34
558.0,123.34
559.0,164.4
560.0,186.22
561.0,148.85
562.0,141.79
563.0,143.24
564.0,136.47
565.0,110.64
566.0,106.99
567.0,99.96
568.0,99.67
569.0,110.59
570.0,158.67
571.0,146.75
572.0,143.89
573.0,138.14
574.0,116.35
575.0,101.25
576.0,88.83
577.0,41.18
578.0,39.28
579.0,38.67
580.0,38.02
581.0,38.77
582.0,42.41
583.0,57.73
584.0,68.39
585.0,55.63
586.0,53.98
587.0,52.81
588.0,47.25
