iteration,accepted,SteamGen_capacity,Converter1_capacity,NewBOP_capacity,Charger_capacity,TES_capacity,Convert2_capacity,Grid_capacity,mean_NPV,std_NPV,med_NPV
46.0,rerun,203.0,-203.0,-408.322289014,-203.144567268,1041.60966368,-203.0,-1e+200,306108768.766,453538.979458,306083716.209
47.0,rejected,203.0,-203.0,-408.330601572,-203.144729474,1041.60703831,-203.0,-1e+200,306033111.344,376935.756863,306031893.914
48.0,rerun,203.0,-203.0,-408.322289014,-203.144567268,1041.60966368,-203.0,-1e+200,306201108.893,435593.654812,306331939.442
49.0,rejected,203.0,-203.0,-408.327408207,-203.144616342,1041.59843918,-203.0,-1e+200,306015092.392,425175.545589,305947205.8
50.0,rerun,203.0,-203.0,-408.322289014,-203.144567268,1041.60966368,-203.0,-1e+200,306104366.263,449424.476068,306212138.616
51.0,rejected,203.0,-203.0,-408.325583142,-203.144578929,1041.60089266,-203.0,-1e+200,306053475.665,530425.917438,306203760.163
52.0,rerun,203.0,-203.0,-408.322289014,-203.144567268,1041.60966368,-203.0,-1e+200,305983407.407,350295.594395,305934847.424
53.0,accepted,203.0,-203.0,-408.323714323,-203.144635757,1041.61960494,-203.0,-1e+200,306078962.083,518232.421806,306158637.197
54.0,accepted,203.0,-203.0,-408.32441502,-203.144526138,1041.63228381,-203.0,-1e+200,306186073.128,446257.890107,306238698.938
55.0,rejected,203.0,-203.0,-408.322114589,-203.144016734,1041.64556812,-203.0,-1e+200,305963211.767,346060.086096,306060920.996
56.0,rerun,203.0,-203.0,-408.32441502,-203.144526138,1041.63228381,-203.0,-1e+200,305904415.287,421579.256664,305930042.983
57.0,rejected,203.0,-203.0,-408.322461485,-203.144819632,1041.64090122,-203.0,-1e+200,305973743.761,409208.575756,305996671.217
58.0,rerun,203.0,-203.0,-408.32441502,-203.144526138,1041.63228381,-203.0,-1e+200,306006619.325,508386.941748,305868275.754
59.0,rejected,203.0,-203.0,-408.326155758,-203.144361514,1041.63575927,-203.0,-1e+200,305947400.716,554644.671291,305853318.245
60.0,rerun,203.0,-203.0,-408.32441502,-203.144526138,1041.63228381,-203.0,-1e+200,305629624.371,392927.553637,305630575.412
61.0,accepted,203.0,-203.0,-408.323428844,-203.144607002,1041.62771863,-203.0,-1e+200,306057764.59,493730.344344,305962398.776
62.0,accepted,203.0,-203.0,-408.323247166,-203.144547432,1041.62327153,-203.0,-1e+200,306173974.427,503649.100066,305989601.132
63.0,rejected,203.0,-203.0,-408.324571421,-203.144486814,1041.62529214,-203.0,-1e+200,306061464.99,552640.106913,306162178.211
64.0,rerun,203.0,-203.0,-408.323247166,-203.144547432,1041.62327153,-203.0,-1e+200,306311551.511,467162.43077,306360535.084
65.0,rejected,203.0,-203.0,-408.323773223,-203.144648749,1041.62546015,-203.0,-1e+200,305934555.236,302150.03685,305905577.327
66.0,rerun,203.0,-203.0,-408.323247166,-203.144547432,1041.62327153,-203.0,-1e+200,306013857.213,443821.928068,305855698.046
67.0,rejected,203.0,-203.0,-408.323715211,-203.144610712,1041.62386066,-203.0,-1e+200,306092118.42,403800.936487,306044796.336
68.0,rerun,203.0,-203.0,-408.323247166,-203.144547432,1041.62327153,-203.0,-1e+200,306017498.404,410349.213672,305995484.263
69.0,rejected,203.0,-203.0,-408.323285086,-203.144541359,1041.62539022,-203.0,-1e+200,305995168.194,428666.494531,306058996.198
70.0,rerun,203.0,-203.0,-408.323247166,-203.144547432,1041.62327153,-203.0,-1e+200,306159602.312,397863.840208,306206300.058
71.0,accepted,203.0,-203.0,-408.322985035,-203.144537973,1041.6228111,-203.0,-1e+200,306183322.521,437033.62687,306195614.027
72.0,rejected,203.0,-203.0,-408.323217514,-203.144527608,1041.62294956,-203.0,-1e+200,306027653.673,407211.050826,306039392.87
73.0,rerun,203.0,-203.0,-408.322985035,-203.144537973,1041.6228111,-203.0,-1e+200,305995599.968,400007.210668,305991767.422
74.0,rejected,203.0,-203.0,-408.323142744,-203.144539478,1041.62261677,-203.0,-1e+200,306063575.418,441228.112557,306092908.732
