RAVEN_sample_ID,Year,_ROM_Cluster,hour,scaling,Dispatch__turbine__production__electricity,Dispatch__htse_ft__production__jet_fuel,Dispatch__htse_ft__production__diesel,Dispatch__htse_ft__production__electricity,Dispatch__htse_ft__production__naphtha,Dispatch__ft_elec_consumption__production__electricity,Dispatch__electricity_market__production__electricity,Dispatch__naphtha_market__production__naphtha,Dispatch__jet_fuel_market__production__jet_fuel,Dispatch__diesel_market__production__diesel,price,PointProbability,prefix,ProbabilityWeight-turbine_capacity,ProbabilityWeight
0,2021,0,0.0,1.0,817.2128,8420.0,4664.0,-400.0,6952.0,-14.9,-402.3128,-6952.0,-8420.0,-4664.0,20.6215095505,0.002,1,1.0,1.0
0,2021,0,1.0,1.0,817.2128,8420.0,4664.0,-400.0,6952.0,-14.9,-402.3128,-6952.0,-8420.0,-4664.0,19.5903430993,0.002,1,1.0,1.0
0,2021,0,2.0,1.0,817.2128,8420.0,4664.0,-400.0,6952.0,-14.9,-402.3128,-6952.0,-8420.0,-4664.0,27.4868446963,0.002,1,1.0,1.0
0,2021,0,3.0,1.0,817.2128,8420.0,4664.0,-400.0,6952.0,-14.9,-402.3128,-6952.0,-8420.0,-4664.0,27.4995853212,0.002,1,1.0,1.0
0,2021,0,4.0,1.0,817.2128,8420.0,4664.0,-400.0,6952.0,-14.9,-402.3128,-6952.0,-8420.0,-4664.0,18.8026340931,0.002,1,1.0,1.0
0,2021,0,5.0,1.0,817.2128,8420.0,4664.0,-400.0,6952.0,-14.9,-402.3128,-6952.0,-8420.0,-4664.0,28.1763244712,0.002,1,1.0,1.0
0,2021,0,6.0,1.0,817.2128,8420.0,4664.0,-400.0,6952.0,-14.9,-402.3128,-6952.0,-8420.0,-4664.0,30.3633165141,0.002,1,1.0,1.0
0,2021,0,7.0,1.0,817.2128,8420.0,4664.0,-400.0,6952.0,-14.9,-402.3128,-6952.0,-8420.0,-4664.0,22.9553179457,0.002,1,1.0,1.0
0,2021,0,8.0,1.0,817.2128,8420.0,4664.0,-400.0,6952.0,-14.9,-402.3128,-6952.0,-8420.0,-4664.0,25.6384813639,0.002,1,1.0,1.0
0,2021,0,9.0,1.0,817.2128,8420.0,4664.0,-400.0,6952.0,-14.9,-402.3128,-6952.0,-8420.0,-4664.0,26.3107244526,0.002,1,1.0,1.0
0,2021,0,10.0,1.0,817.2128,8420.0,4664.0,-400.0,6952.0,-14.9,-402.3128,-6952.0,-8420.0,-4664.0,27.9507857977,0.002,1,1.0,1.0
0,2021,0,11.0,1.0,817.2128,8420.0,4664.0,-400.0,6952.0,-14.9,-402.3128,-6952.0,-8420.0,-4664.0,28.8940801577,0.002,1,1.0,1.0
0,2021,0,12.0,1.0,817.2128,8420.0,4664.0,-400.0,6952.0,-14.9,-402.3128,-6952.0,-8420.0,-4664.0,30.6521614069,0.002,1,1.0,1.0
0,2021,0,13.0,1.0,817.2128,8420.0,4664.0,-400.0,6952.0,-14.9,-402.3128,-6952.0,-8420.0,-4664.0,30.0049648872,0.002,1,1.0,1.0
0,2021,0,14.0,1.0,817.2128,8420.0,4664.0,-400.0,6952.0,-14.9,-402.3128,-6952.0,-8420.0,-4664.0,29.8296290652,0.002,1,1.0,1.0
0,2021,0,15.0,1.0,817.2128,8420.0,4664.0,-400.0,6952.0,-14.9,-402.3128,-6952.0,-8420.0,-4664.0,36.3939713361,0.002,1,1.0,1.0
0,2021,0,16.0,1.0,817.2128,8420.0,4664.0,-400.0,6952.0,-14.9,-402.3128,-6952.0,-8420.0,-4664.0,39.3813558404,0.002,1,1.0,1.0
0,2021,0,17.0,1.0,817.2128,8420.0,4664.0,-400.0,6952.0,-14.9,-402.3128,-6952.0,-8420.0,-4664.0,38.6998171438,0.002,1,1.0,1.0
0,2021,0,18.0,1.0,817.2128,8420.0,4664.0,-400.0,6952.0,-14.9,-402.3128,-6952.0,-8420.0,-4664.0,37.8347510269,0.002,1,1.0,1.0
0,2021,0,19.0,1.0,817.2128,8420.0,4664.0,-400.0,6952.0,-14.9,-402.3128,-6952.0,-8420.0,-4664.0,35.9238426707,0.002,1,1.0,1.0
0,2021,0,20.0,1.0,817.2128,8420.0,4664.0,-400.0,6952.0,-14.9,-402.3128,-6952.0,-8420.0,-4664.0,33.7255460722,0.002,1,1.0,1.0
0,2021,0,21.0,1.0,817.2128,8420.0,4664.0,-400.0,6952.0,-14.9,-402.3128,-6952.0,-8420.0,-4664.0,29.9952979492,0.002,1,1.0,1.0
0,2021,0,22.0,1.0,817.2128,8420.0,4664.0,-400.0,6952.0,-14.9,-402.3128,-6952.0,-8420.0,-4664.0,22.3571349804,0.002,1,1.0,1.0
0,2021,0,23.0,1.0,817.2128,8420.0,4664.0,-400.0,6952.0,-14.9,-402.3128,-6952.0,-8420.0,-4664.0,28.4539389369,0.002,1,1.0,1.0
0,2021,1,0.0,1.0,817.2128,8420.0,4664.0,-400.0,6952.0,-14.9,-402.3128,-6952.0,-8420.0,-4664.0,18.3883637615,0.002,1,1.0,1.0
0,2021,1,1.0,1.0,817.2128,8420.0,4664.0,-400.0,6952.0,-14.9,-402.3128,-6952.0,-8420.0,-4664.0,23.6107459453,0.002,1,1.0,1.0
0,2021,1,2.0,1.0,817.2128,8420.0,4664.0,-400.0,6952.0,-14.9,-402.3128,-6952.0,-8420.0,-4664.0,28.0799625075,0.002,1,1.0,1.0
0,2021,1,3.0,1.0,817.2128,8420.0,4664.0,-400.0,6952.0,-14.9,-402.3128,-6952.0,-8420.0,-4664.0,23.4443347466,0.002,1,1.0,1.0
0,2021,1,4.0,1.0,817.2128,8420.0,4664.0,-400.0,6952.0,-14.9,-402.3128,-6952.0,-8420.0,-4664.0,27.8103757938,0.002,1,1.0,1.0
0,2021,1,5.0,1.0,817.2128,8420.0,4664.0,-400.0,6952.0,-14.9,-402.3128,-6952.0,-8420.0,-4664.0,19.6784362795,0.002,1,1.0,1.0
0,2021,1,6.0,1.0,817.2128,8420.0,4664.0,-400.0,6952.0,-14.9,-402.3128,-6952.0,-8420.0,-4664.0,32.1942967962,0.002,1,1.0,1.0
0,2021,1,7.0,1.0,817.2128,8420.0,4664.0,-400.0,6952.0,-14.9,-402.3128,-6952.0,-8420.0,-4664.0,29.7914208079,0.002,1,1.0,1.0
0,2021,1,8.0,1.0,817.2128,8420.0,4664.0,-400.0,6952.0,-14.9,-402.3128,-6952.0,-8420.0,-4664.0,38.6725835891,0.002,1,1.0,1.0
0,2021,1,9.0,1.0,817.2128,8420.0,4664.0,-400.0,6952.0,-14.9,-402.3128,-6952.0,-8420.0,-4664.0,40.9635404265,0.002,1,1.0,1.0
0,2021,1,10.0,1.0,817.2128,8420.0,4664.0,-400.0,6952.0,-14.9,-402.3128,-6952.0,-8420.0,-4664.0,28.1238108031,0.002,1,1.0,1.0
0,2021,1,11.0,1.0,817.2128,8420.0,4664.0,-400.0,6952.0,-14.9,-402.3128,-6952.0,-8420.0,-4664.0,28.1254148285,0.002,1,1.0,1.0
0,2021,1,12.0,1.0,817.2128,8420.0,4664.0,-400.0,6952.0,-14.9,-402.3128,-6952.0,-8420.0,-4664.0,40.6326227721,0.002,1,1.0,1.0
0,2021,1,13.0,1.0,817.2128,8420.0,4664.0,-400.0,6952.0,-14.9,-402.3128,-6952.0,-8420.0,-4664.0,39.3086472455,0.002,1,1.0,1.0
0,2021,1,14.0,1.0,817.2128,8420.0,4664.0,-400.0,6952.0,-14.9,-402.3128,-6952.0,-8420.0,-4664.0,28.0095144429,0.002,1,1.0,1.0
0,2021,1,15.0,1.0,817.2128,8420.0,4664.0,-400.0,6952.0,-14.9,-402.3128,-6952.0,-8420.0,-4664.0,36.7204382653,0.002,1,1.0,1.0
0,2021,1,16.0,1.0,817.2128,8420.0,4664.0,-400.0,6952.0,-14.9,-402.3128,-6952.0,-8420.0,-4664.0,30.2995612548,0.002,1,1.0,1.0
0,2021,1,17.0,1.0,817.2128,8420.0,4664.0,-400.0,6952.0,-14.9,-402.3128,-6952.0,-8420.0,-4664.0,30.7392022882,0.002,1,1.0,1.0
