turbine_capacity,htse_ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,scenario_label,location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight,ProbabilityWeight-turbine_capacity,PointProbability,prefix
1193.0,-1000.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,ref,braidwood,3637788051.88,1843007.97505,3637202758.86,3640826469.39,3635329502.08,3635741943.48,3640793190.78,10.0,3.3966783961e+12,0.5,0.5,0.000838222967309,1
2386.0,-1000.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,ref,braidwood,5799602476.91,11837661.1857,5796814133.04,5818562045.09,5777613581.45,5785087130.99,5817598610.45,10.0,1.40130222347e+14,0.5,0.5,0.000838222967309,2
