turbine_capacity,htse_ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,scenario_label,location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,PointProbability,ProbabilityWeight-turbine_capacity,prefix,ProbabilityWeight
500.0,-400.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,ref,braidwood,1687604799.92,1035736.63744,1687438944.1,1689417309.94,1686287148.0,1686492403.05,1689142762.88,10.0,1.07275038214e+12,0.002,0.5,1,0.5
1000.0,-400.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,ref,braidwood,3638324134.23,10614260.6822,3641355934.59,3656154689.95,3620479456.16,3622454752.4,3651836231.3,10.0,1.12662529829e+14,0.002,0.5,2,0.5
