npp_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-h2_storage_capacity,prefix,ProbabilityWeight,ProbabilityWeight-htse_capacity,PointProbability,ProbabilityWeight-ft_capacity
1193.0,-1178.0,-29603.14,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,ref,braidwood,illinois,covid,260370589.16,986.648939664,260370225.865,260372045.784,260369859.126,260369909.687,260371777.246,4.0,973476.13014,0.0249762488124,1,0.00193094060277,0.315634218289,3.76215239928e-13,0.244938821026
1193.0,-1178.0,-29603.14,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10000.0,ref,braidwood,illinois,covid,260380438.577,13449.6958407,260378028.663,260398340.967,260367356.013,260368290.984,260395960.049,4.0,180894318.208,0.249987499375,4,0.019326801889,0.315634218289,3.76215239928e-13,0.244938821026
1193.0,-1178.0,-29603.14,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,100000.0,ref,braidwood,illinois,covid,260718757.342,267113.795818,260738862.176,260976028.62,260421276.397,260443247.71,260966120.206,4.0,71349779916.4,0.475023751188,7,0.0367245960488,0.315634218289,3.76215239928e-13,0.244938821026
1193.0,-1178.0,-29603.14,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,200000.0,ref,braidwood,illinois,covid,261170468.883,1178821.45433,261002464.805,262679143.636,259997802.285,260076473.32,262499670.154,4.0,1.38962002118e+12,0.250012500625,10,0.0193287347625,0.315634218289,3.76215239928e-13,0.244938821026
1193.0,-1178.0,-20000.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,ref,braidwood,illinois,covid,339977139.807,2923819.25973,339648932.347,343653645.303,336957049.229,337183568.847,343230201.21,4.0,8.54871906358e+12,0.0249762488124,13,0.00394167938485,0.315634218289,3.76215239928e-13,0.5
1193.0,-1178.0,-20000.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10000.0,ref,braidwood,illinois,covid,384914864.709,5688102.21653,383509270.518,392956245.993,379684671.808,380147452.884,391650108.402,4.0,3.23545068257e+13,0.249987499375,16,0.0394523044736,0.315634218289,3.76215239928e-13,0.5
1193.0,-1178.0,-20000.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,100000.0,ref,braidwood,illinois,covid,460151403.872,6774393.83098,459326185.583,468220786.184,453732458.137,453990594.253,467467519.095,4.0,4.58924117772e+13,0.475023751188,19,0.0749668751874,0.315634218289,3.76215239928e-13,0.5
1193.0,-1178.0,-20000.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,200000.0,ref,braidwood,illinois,covid,457934591.334,6217898.55679,457975791.598,465353763.278,450433018.861,451335329.951,464476172.347,4.0,3.86622624625e+13,0.250012500625,22,0.0394562500986,0.315634218289,3.76215239928e-13,0.5
1193.0,-1178.0,-10000.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,ref,braidwood,illinois,covid,440809544.49,7390817.09556,437888407.871,451777341.479,435684020.739,435962405.452,449746274.794,4.0,5.462417734e+13,0.0249762488124,25,0.00201073878208,0.315634218289,3.76215239928e-13,0.255061178974
1193.0,-750.0,-10000.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,ref,braidwood,illinois,covid,864489475.137,4141886.56137,865346227.276,868096744.364,859168701.632,859782937.653,867996559.626,4.0,1.71552242872e+13,0.0249762488124,26,0.00318523573423,0.5,3.76215239928e-13,0.255061178974
