iteration,accepted,npp_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,mean_NPV,std_NPV,med_NPV
0.0,first,1193.0,-950.0,-11025.8,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,43100.9,2707571731.88,4923408.73584,2708805535.5
1.0,accepted,1193.0,-1175.0,-14638.0209575,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,41101.2988351,2893818332.64,4769183.84146,2894055099.89
2.0,rejected,1193.0,-1175.0,-16405.4245725,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,39153.0,2852701205.71,4935658.19445,2851273342.48
3.0,rerun,1193.0,-1175.0,-14638.0209575,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,41101.2988351,2891002155.53,1504663.57752,2891179895.1
4.0,accepted,1193.0,-1175.0,-11607.7462599,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,39153.0,2957918070.19,2398145.71802,2957311609.43
5.0,accepted,1193.0,-1175.0,-10052.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,49254.874176,2995792962.55,5906834.70227,2996437116.49
