SteamGen_capacity,Converter1_capacity,NewBOP_capacity,Charger_capacity,TES_capacity,Convert2_capacity,Grid_capacity,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,PointProbability,ProbabilityWeight-TES_capacity,prefix,ProbabilityWeight-NewBOP_capacity,ProbabilityWeight-Charger_capacity,ProbabilityWeight
203.0,-203.0,-400.0,-195.0,300.0,-203.0,-1e+200,431970815.078,14235394.9322,433690712.526,461553008.259,409600489.12,409776140.761,450298825.177,16.0,2.02646468876e+14,4.7619047619e-08,0.05,1,0.0357142857143,0.0333333333333,5.95238095238e-05
203.0,-203.0,-400.0,-195.0,400.0,-203.0,-1e+200,443491452.699,14546109.9319,446219035.842,468831963.806,412444008.027,426278700.245,465234516.044,19.0,2.11589314151e+14,4.7619047619e-08,0.1,2,0.0357142857143,0.0333333333333,0.000119047619048
203.0,-203.0,-400.0,-195.0,500.0,-203.0,-1e+200,458112601.845,11692448.0173,460465716.111,480998178.458,436394019.855,436456903.711,474436265.159,18.0,1.36713340637e+14,4.7619047619e-08,0.1,3,0.0357142857143,0.0333333333333,0.000119047619048
203.0,-203.0,-400.0,-195.0,600.0,-203.0,-1e+200,460478196.744,14506627.4859,460827617.483,481093874.842,433863509.261,435199934.058,480108663.563,20.0,2.10442241014e+14,4.7619047619e-08,0.1,4,0.0357142857143,0.0333333333333,0.000119047619048
203.0,-203.0,-400.0,-195.0,700.0,-203.0,-1e+200,460301316.896,13334125.3349,464368407.512,479621089.226,425682237.13,441121548.274,475192138.104,19.0,1.77798898446e+14,4.7619047619e-08,0.1,5,0.0357142857143,0.0333333333333,0.000119047619048
203.0,-203.0,-400.0,-195.0,800.0,-203.0,-1e+200,460378198.422,12747888.2868,459676002.437,486742791.784,441322223.303,443226694.969,483972588.874,18.0,1.62508655774e+14,4.7619047619e-08,0.1,6,0.0357142857143,0.0333333333333,0.000119047619048
203.0,-203.0,-400.0,-195.0,900.0,-203.0,-1e+200,462404900.848,18431232.8852,463273579.402,491547170.562,425359819.567,428555028.007,489796116.547,19.0,3.39710345669e+14,4.7619047619e-08,0.1,7,0.0357142857143,0.0333333333333,0.000119047619048
203.0,-203.0,-400.0,-195.0,1000.0,-203.0,-1e+200,470124941.155,9620571.43053,471548265.183,483384116.886,448783153.937,453759589.274,483331387.877,20.0,9.25553946499e+13,4.7619047619e-08,0.1,8,0.0357142857143,0.0333333333333,0.000119047619048
203.0,-203.0,-400.0,-195.0,1100.0,-203.0,-1e+200,468621169.628,12527935.2629,464720578.072,496776915.557,449625736.195,455435389.445,494548124.29,20.0,1.56949161951e+14,4.7619047619e-08,0.1,9,0.0357142857143,0.0333333333333,0.000119047619048
203.0,-203.0,-400.0,-195.0,1200.0,-203.0,-1e+200,468483835.271,13425322.9763,469957385.347,503046796.102,446269435.492,448940932.246,479898104.092,20.0,1.80239297018e+14,4.7619047619e-08,0.059,10,0.0357142857143,0.0333333333333,7.02380952381e-05
203.0,-203.0,-400.0,-195.0,1218.0,-203.0,-1e+200,464522791.172,12302798.0002,467138329.367,485314835.671,445349547.391,445420376.201,484542518.63,20.0,1.51358838635e+14,4.7619047619e-08,0.05,11,0.0357142857143,0.0333333333333,5.95238095238e-05
203.0,-203.0,-400.0,-195.0,1300.0,-203.0,-1e+200,465057009.128,11257327.7378,466424227.839,482148904.312,434393904.235,443040628.268,477691679.372,20.0,1.26727427796e+14,4.7619047619e-08,0.041,12,0.0357142857143,0.0333333333333,4.88095238095e-05
203.0,-203.0,-380.0,-195.0,300.0,-203.0,-1e+200,433080884.665,10419341.8262,435342737.726,450001105.799,415963464.133,416201099.562,448442289.985,16.0,1.08562684092e+14,4.7619047619e-08,0.05,13,0.0714285714286,0.0333333333333,0.000119047619048
203.0,-203.0,-380.0,-195.0,400.0,-203.0,-1e+200,439241954.948,10848756.3588,441950504.709,462795812.164,419577322.403,421037099.584,450899861.123,17.0,1.17695514532e+14,4.7619047619e-08,0.1,14,0.0714285714286,0.0333333333333,0.000238095238095
203.0,-203.0,-380.0,-195.0,500.0,-203.0,-1e+200,445566164.534,11278427.0919,445131974.227,465420255.674,425353486.303,427469372.221,463097189.794,18.0,1.27202917668e+14,4.7619047619e-08,0.1,15,0.0714285714286,0.0333333333333,0.000238095238095
203.0,-203.0,-380.0,-195.0,600.0,-203.0,-1e+200,446294412.298,13205917.4689,446342034.005,469652603.797,426350826.531,428887674.602,465157630.122,20.0,1.74396256195e+14,4.7619047619e-08,0.1,16,0.0714285714286,0.0333333333333,0.000238095238095
203.0,-203.0,-380.0,-195.0,700.0,-203.0,-1e+200,447488478.396,15515945.0427,449624804.256,476421041.854,408384142.466,426345581.418,465782685.501,20.0,2.40744550569e+14,4.7619047619e-08,0.1,17,0.0714285714286,0.0333333333333,0.000238095238095
203.0,-203.0,-380.0,-195.0,800.0,-203.0,-1e+200,451191083.777,12423251.3674,451947373.366,472599834.943,424119740.674,434377351.558,471258502.795,19.0,1.54337174539e+14,4.7619047619e-08,0.1,18,0.0714285714286,0.0333333333333,0.000238095238095
203.0,-203.0,-380.0,-195.0,900.0,-203.0,-1e+200,453187440.847,17062149.5216,455454423.03,482936871.845,423408848.645,425198397.354,481002114.264,19.0,2.91116946299e+14,4.7619047619e-08,0.1,19,0.0714285714286,0.0333333333333,0.000238095238095
203.0,-203.0,-380.0,-195.0,1000.0,-203.0,-1e+200,453576507.525,12071272.9625,454198312.246,472060846.899,431748098.834,433500367.03,471721541.499,20.0,1.45715630936e+14,4.7619047619e-08,0.1,20,0.0714285714286,0.0333333333333,0.000238095238095
203.0,-203.0,-380.0,-195.0,1100.0,-203.0,-1e+200,453731092.065,13903298.2392,453322373.808,477029281.8,425733401.502,431419383.559,470501101.396,19.0,1.93301701927e+14,4.7619047619e-08,0.1,21,0.0714285714286,0.0333333333333,0.000238095238095
203.0,-203.0,-380.0,-195.0,1200.0,-203.0,-1e+200,452858592.188,16988365.369,454823050.598,476914688.562,417606765.273,427354578.837,471214404.36,18.0,2.88604557911e+14,4.7619047619e-08,0.059,22,0.0714285714286,0.0333333333333,0.000140476190476
203.0,-203.0,-380.0,-195.0,1218.0,-203.0,-1e+200,460553854.089,16259970.8979,464744343.249,480370105.519,424992628.167,425125214.895,478547608.307,20.0,2.643866536e+14,4.7619047619e-08,0.05,23,0.0714285714286,0.0333333333333,0.000119047619048
203.0,-203.0,-380.0,-195.0,1300.0,-203.0,-1e+200,459012027.836,10180624.8728,460475017.205,473674756.694,439313482.857,441758189.842,472001475.536,20.0,1.036451228e+14,4.7619047619e-08,0.041,24,0.0714285714286,0.0333333333333,9.7619047619e-05
