SteamGen_capacity,Converter1_capacity,NewBOP_capacity,Charger_capacity,TES_capacity,Convert2_capacity,Grid_capacity,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,PointProbability,ProbabilityWeight-Charger_capacity,prefix,ProbabilityWeight-NewBOP_capacity,ProbabilityWeight-TES_capacity,ProbabilityWeight
203.0,-203.0,-400.0,-203.0,600.0,-203.0,-1e+200,461119878.332,14679937.4515,464259633.119,478064156.522,433612974.29,439453681.226,476758079.617,7.0,2.15500563579e+14,6.74217907228e-06,0.5,1,0.125,0.0809061488673,0.00505663430421
203.0,-203.0,-400.0,-203.0,700.0,-203.0,-1e+200,467438726.897,10775842.3043,469013704.547,484759773.677,452226613.32,452774145.262,482021910.848,9.0,1.16118777366e+14,6.74217907228e-06,0.5,2,0.125,0.161812297735,0.0101132686084
203.0,-203.0,-400.0,-203.0,800.0,-203.0,-1e+200,466707050.199,12906332.1617,470203058.575,480284181.443,431961267.808,446473771.892,479326350.173,12.0,1.66573409869e+14,6.74217907228e-06,0.5,3,0.125,0.161812297735,0.0101132686084
203.0,-203.0,-400.0,-203.0,900.0,-203.0,-1e+200,468145917.577,10809219.5715,468252055.462,481059028.761,453561011.007,454793868.999,480285983.948,8.0,1.16839227744e+14,6.74217907228e-06,0.5,4,0.125,0.161812297735,0.0101132686084
203.0,-203.0,-400.0,-203.0,1000.0,-203.0,-1e+200,468915880.469,15209125.8872,463109007.775,491867196.434,455297904.08,455644053.914,490628955.698,9.0,2.31317510252e+14,6.74217907228e-06,0.5,5,0.125,0.161812297735,0.0101132686084
203.0,-203.0,-400.0,-203.0,1218.0,-203.0,-1e+200,468202645.32,20864764.0728,468686604.128,498676220.354,421958752.974,434376512.236,492184957.666,10.0,4.35338379814e+14,6.74217907228e-06,0.5,8,0.125,0.0145631067961,0.000910194174757
203.0,-203.0,-400.0,-203.0,1100.0,-203.0,-1e+200,467229362.952,13885556.9328,465281386.978,487766884.581,440279303.936,448501745.386,484475838.167,13.0,1.92808691334e+14,6.74217907228e-06,0.5,6,0.125,0.161812297735,0.0101132686084
203.0,-203.0,-400.0,-203.0,1200.0,-203.0,-1e+200,470937977.879,18199995.4451,476917106.513,493316405.52,441329192.908,446695059.216,492643750.534,9.0,3.31239834202e+14,6.74217907228e-06,0.5,7,0.125,0.0954692556634,0.00596682847896
203.0,-203.0,-380.0,-203.0,600.0,-203.0,-1e+200,454729219.689,9906020.02459,454667756.317,471312618.246,440131894.13,442876441.464,468356816.227,7.0,9.81292327276e+13,6.74217907228e-06,0.5,9,0.25,0.0809061488673,0.0101132686084
203.0,-203.0,-380.0,-203.0,800.0,-203.0,-1e+200,452268108.07,16881104.8256,453332857.364,486617341.513,433162421.205,433204464.509,476424513.716,8.0,2.84971700132e+14,6.74217907228e-06,0.5,11,0.25,0.161812297735,0.0202265372168
203.0,-203.0,-380.0,-203.0,900.0,-203.0,-1e+200,457524932.951,13946084.5299,456110910.923,483876989.538,442160919.562,442962570.682,478003045.774,8.0,1.94493273715e+14,6.74217907228e-06,0.5,12,0.25,0.161812297735,0.0202265372168
203.0,-203.0,-380.0,-203.0,700.0,-203.0,-1e+200,451890316.117,11987203.9796,452833359.914,468556991.196,432824203.34,436014413.949,466788674.161,7.0,1.4369305925e+14,6.74217907228e-06,0.5,10,0.25,0.161812297735,0.0202265372168
203.0,-203.0,-380.0,-203.0,1000.0,-203.0,-1e+200,464107338.857,15248520.4055,465477419.393,487781514.299,439810886.405,441284503.962,484117003.806,11.0,2.32517374556e+14,6.74217907228e-06,0.5,13,0.25,0.161812297735,0.0202265372168
203.0,-203.0,-380.0,-203.0,1100.0,-203.0,-1e+200,454951875.028,13200928.5471,458208348.815,471604325.94,427384942.515,435291667.022,469205688.809,8.0,1.74264514506e+14,6.74217907228e-06,0.5,14,0.25,0.161812297735,0.0202265372168
203.0,-203.0,-380.0,-203.0,1200.0,-203.0,-1e+200,448917401.543,14658745.473,447252700.264,482637966.887,430911897.158,431513182.362,471364497.626,10.0,2.14878818841e+14,6.74217907228e-06,0.5,15,0.25,0.0954692556634,0.0119336569579
203.0,-203.0,-380.0,-203.0,1218.0,-203.0,-1e+200,455199876.087,13065055.2156,450254914.37,475681175.058,439001220.021,440118586.732,475553680.639,12.0,1.70695667787e+14,6.74217907228e-06,0.5,16,0.25,0.0145631067961,0.00182038834951
203.0,-203.0,-360.0,-203.0,600.0,-203.0,-1e+200,443370473.459,13508723.2387,442299460.855,460788194.732,423790417.48,425516241.973,459601653.212,7.0,1.82485603539e+14,6.74217907228e-06,0.5,17,0.25,0.0809061488673,0.0101132686084
203.0,-203.0,-360.0,-203.0,800.0,-203.0,-1e+200,456914643.995,12017241.105,452647790.687,477623610.515,443508682.974,445476003.907,474138213.486,6.0,1.44414083775e+14,6.74217907228e-06,0.5,19,0.25,0.161812297735,0.0202265372168
203.0,-203.0,-360.0,-203.0,700.0,-203.0,-1e+200,452416513.8,13994250.4471,458136494.951,462107624.233,428181660.73,433130457.817,461832327.97,5.0,1.95839045576e+14,6.74217907228e-06,0.5,18,0.25,0.161812297735,0.0202265372168
203.0,-203.0,-360.0,-203.0,900.0,-203.0,-1e+200,449209849.87,19849274.6916,452372682.274,468125649.479,423968385.452,426858210.927,467133523.446,4.0,3.93993705781e+14,6.74217907228e-06,0.5,20,0.25,0.161812297735,0.0202265372168
203.0,-203.0,-360.0,-203.0,1000.0,-203.0,-1e+200,447704482.708,9944273.44132,444621927.465,461128974.408,436770347.467,437180233.293,460731398.241,7.0,9.88885742758e+13,6.74217907228e-06,0.5,21,0.25,0.161812297735,0.0202265372168
203.0,-203.0,-360.0,-203.0,1100.0,-203.0,-1e+200,442894966.015,14552408.4189,444300687.92,459735014.256,420324748.85,424346413.129,458540047.718,8.0,2.1177259079e+14,6.74217907228e-06,0.5,22,0.25,0.161812297735,0.0202265372168
203.0,-203.0,-360.0,-203.0,1200.0,-203.0,-1e+200,448277505.445,14115407.4739,451114355.205,470343625.123,419613354.029,428442886.521,467041663.246,12.0,1.99244728155e+14,6.74217907228e-06,0.5,23,0.25,0.0954692556634,0.0119336569579
203.0,-203.0,-360.0,-203.0,1218.0,-203.0,-1e+200,451233809.443,7207718.85349,453836183.098,460860600.066,441430574.353,441559343.151,460241580.233,9.0,5.1951211071e+13,6.74217907228e-06,0.5,24,0.25,0.0145631067961,0.00182038834951
203.0,-203.0,-340.0,-203.0,600.0,-203.0,-1e+200,433887280.209,8359478.85013,433944443.176,443072229.386,421437372.672,422166307.411,442905000.094,8.0,6.98808866458e+13,6.74217907228e-06,0.5,25,0.25,0.0809061488673,0.0101132686084
203.0,-203.0,-340.0,-203.0,700.0,-203.0,-1e+200,438020139.877,8737750.97662,434169504.565,449990154.118,429174752.663,429843570.189,448841612.842,5.0,7.63482921294e+13,6.74217907228e-06,0.5,26,0.25,0.161812297735,0.0202265372168
203.0,-203.0,-340.0,-203.0,800.0,-203.0,-1e+200,437367842.483,9831126.05726,439199041.636,448779187.271,419045932.196,422493038.361,447115831.363,7.0,9.66510395537e+13,6.74217907228e-06,0.5,27,0.25,0.161812297735,0.0202265372168
203.0,-203.0,-340.0,-203.0,900.0,-203.0,-1e+200,437032205.904,13800144.7705,440767567.929,451566360.44,416040029.781,418296743.274,451010699.63,7.0,1.90443995687e+14,6.74217907228e-06,0.5,28,0.25,0.161812297735,0.0202265372168
203.0,-203.0,-340.0,-203.0,1000.0,-203.0,-1e+200,435731698.036,12169089.3976,432675200.541,459479183.327,424357264.136,424622640.955,453892880.471,8.0,1.48086736768e+14,6.74217907228e-06,0.5,29,0.25,0.161812297735,0.0202265372168
203.0,-203.0,-340.0,-203.0,1100.0,-203.0,-1e+200,436730007.227,8937613.88759,433878178.508,448563312.016,424546543.647,425483779.633,447928588.712,9.0,7.98809420037e+13,6.74217907228e-06,0.5,30,0.25,0.161812297735,0.0202265372168
203.0,-203.0,-320.0,-203.0,600.0,-203.0,-1e+200,434695575.018,11391970.1325,434695575.018,442750914.35,426640235.687,427445769.62,441945380.417,2.0,1.297769835e+14,6.74217907228e-06,0.5,33,0.125,0.0809061488673,0.00505663430421
203.0,-203.0,-340.0,-203.0,1200.0,-203.0,-1e+200,432854079.711,11742498.7476,430391584.264,458329372.592,421488514.836,423573313.164,450377125.288,7.0,1.37886276838e+14,6.74217907228e-06,0.5,31,0.25,0.0954692556634,0.0119336569579
203.0,-203.0,-340.0,-203.0,1218.0,-203.0,-1e+200,430767131.668,12407351.943,428835464.962,452612701.353,415158897.004,415657524.879,448758269.687,9.0,1.53942382238e+14,6.74217907228e-06,0.5,32,0.25,0.0145631067961,0.00182038834951
203.0,-203.0,-320.0,-203.0,700.0,-203.0,-1e+200,422373692.079,20751675.3602,430126355.081,437297403.295,391944654.86,397162737.097,436730918.859,4.0,4.30632030254e+14,6.74217907228e-06,0.5,34,0.125,0.161812297735,0.0101132686084
203.0,-203.0,-320.0,-203.0,800.0,-203.0,-1e+200,423275146.785,10614264.9502,424472328.313,434467984.512,409687946.004,411372842.154,433501397.278,4.0,1.12662620434e+14,6.74217907228e-06,0.5,35,0.125,0.161812297735,0.0101132686084
203.0,-203.0,-320.0,-203.0,900.0,-203.0,-1e+200,419346116.225,20212613.3473,409816042.553,443565077.4,398535000.503,400131474.814,442511479.642,5.0,4.08549738326e+14,6.74217907228e-06,0.5,36,0.125,0.161812297735,0.0101132686084
203.0,-203.0,-320.0,-203.0,1000.0,-203.0,-1e+200,425820134.037,15003335.5225,423733871.191,441332363.077,398650656.846,404634316.215,441057187.47,7.0,2.25100076801e+14,6.74217907228e-06,0.5,37,0.125,0.161812297735,0.0101132686084
203.0,-203.0,-320.0,-203.0,1100.0,-203.0,-1e+200,422910942.58,15266835.33,421233789.502,440192583.179,403527357.585,405246167.915,439930588.858,7.0,2.33076260993e+14,6.74217907228e-06,0.5,38,0.125,0.161812297735,0.0101132686084
203.0,-203.0,-320.0,-203.0,1200.0,-203.0,-1e+200,416030378.712,6259282.39767,414398761.874,425640746.707,409208251.941,409864502.3,424406184.154,6.0,3.91786161337e+13,6.74217907228e-06,0.5,39,0.125,0.0954692556634,0.00596682847896
203.0,-203.0,-320.0,-203.0,1218.0,-203.0,-1e+200,416354501.466,14793546.7472,411356341.287,434454850.375,399215859.477,400813225.879,434448474.213,8.0,2.18849025361e+14,6.74217907228e-06,0.5,40,0.125,0.0145631067961,0.000910194174757
203.0,-203.0,-400.0,-200.0,600.0,-203.0,-1e+200,459794928.223,12094694.4852,462536334.654,476689830.152,437195050.031,442223168.166,476389885.215,19.0,1.46281634689e+14,6.74217907228e-06,0.5,41,0.125,0.0809061488673,0.00505663430421
203.0,-203.0,-400.0,-200.0,700.0,-203.0,-1e+200,462111323.908,13877501.8123,462445447.937,489654563.807,434537517.217,444317708.023,483010700.331,19.0,1.92585056549e+14,6.74217907228e-06,0.5,42,0.125,0.161812297735,0.0101132686084
203.0,-203.0,-400.0,-200.0,800.0,-203.0,-1e+200,463182655.187,10101498.5402,463452260.161,487027670.045,444797542.832,447652912.143,476521075.753,20.0,1.02040272758e+14,6.74217907228e-06,0.5,43,0.125,0.161812297735,0.0101132686084
203.0,-203.0,-400.0,-200.0,900.0,-203.0,-1e+200,470924927.926,12890084.2655,470034608.018,490487902.282,451331079.169,451638128.093,489314714.865,20.0,1.66154272373e+14,6.74217907228e-06,0.5,44,0.125,0.161812297735,0.0101132686084
203.0,-203.0,-400.0,-200.0,1000.0,-203.0,-1e+200,468205404.788,14798802.499,465321520.159,493753252.436,445311752.101,446618482.627,492739587.782,20.0,2.19004555405e+14,6.74217907228e-06,0.5,45,0.125,0.161812297735,0.0101132686084
203.0,-203.0,-400.0,-200.0,1100.0,-203.0,-1e+200,469650030.998,12874119.8723,470539296.796,492212161.35,444822256.718,447058214.398,487658140.474,20.0,1.65742962487e+14,6.74217907228e-06,0.5,46,0.125,0.161812297735,0.0101132686084
203.0,-203.0,-400.0,-200.0,1200.0,-203.0,-1e+200,472580752.063,14786745.0218,470988546.182,502405959.383,441045244.374,448846207.813,490135292.96,20.0,2.18647828339e+14,6.74217907228e-06,0.5,47,0.125,0.0954692556634,0.00596682847896
203.0,-203.0,-400.0,-200.0,1218.0,-203.0,-1e+200,466794128.954,9649344.63403,464849485.691,491938430.779,452573772.474,458292044.496,483704437.738,19.0,9.31098518663e+13,6.74217907228e-06,0.5,48,0.125,0.0145631067961,0.000910194174757
203.0,-203.0,-380.0,-200.0,600.0,-203.0,-1e+200,456390863.735,12659724.0531,455338284.046,478948801.279,423187600.113,441009235.205,474080234.257,19.0,1.602686131e+14,6.74217907228e-06,0.5,49,0.25,0.0809061488673,0.0101132686084
203.0,-203.0,-380.0,-200.0,700.0,-203.0,-1e+200,455468606.881,13658785.7174,456731323.491,477029851.491,430429936.994,432196776.978,471619115.806,20.0,1.86562427275e+14,6.74217907228e-06,0.5,50,0.25,0.161812297735,0.0202265372168
