SteamGen_capacity,Converter1_capacity,NewBOP_capacity,Charger_capacity,TES_capacity,Convert2_capacity,Grid_capacity,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-Charger_capacity,ProbabilityWeight-TES_capacity,ProbabilityWeight-NewBOP_capacity,ProbabilityWeight,PointProbability,prefix
203.0,-203.0,-420.0,-203.0,500.0,-203.0,-1e+200,274714498.312,224964.416572,274731568.328,275033466.827,274260676.296,274345457.062,274988407.676,14.0,50608988723.4,0.115384615385,0.0696378830084,0.166666666667,0.00133919005785,1.7855867438e-06,1
203.0,-203.0,-420.0,-203.0,700.0,-203.0,-1e+200,275132036.214,272324.71709,275152765.316,275543682.499,274610866.435,274736127.392,275537573.906,13.0,74160751538.4,0.115384615385,0.139275766017,0.166666666667,0.00267838011571,1.7855867438e-06,3
203.0,-203.0,-420.0,-203.0,600.0,-203.0,-1e+200,275205754.932,205084.116994,275227683.297,275595647.92,274786905.217,274791787.372,275507185.809,16.0,42059495043.2,0.115384615385,0.139275766017,0.166666666667,0.00267838011571,1.7855867438e-06,2
203.0,-203.0,-420.0,-203.0,900.0,-203.0,-1e+200,274014548.091,230234.083321,274035590.891,274338560.166,273464208.736,273652519.336,274274347.966,14.0,53007733122.6,0.115384615385,0.139275766017,0.166666666667,0.00267838011571,1.7855867438e-06,5
203.0,-203.0,-420.0,-203.0,800.0,-203.0,-1e+200,274691542.291,261229.640336,274741459.071,275313047.174,274328888.117,274379222.369,275023502.608,15.0,68240924989.9,0.115384615385,0.139275766017,0.166666666667,0.00267838011571,1.7855867438e-06,4
203.0,-203.0,-420.0,-203.0,1100.0,-203.0,-1e+200,272039223.086,306258.902874,271985191.439,272584546.876,271578305.204,271676055.056,272503375.709,16.0,93794515589.9,0.115384615385,0.139275766017,0.166666666667,0.00267838011571,1.7855867438e-06,7
203.0,-203.0,-420.0,-203.0,1200.0,-203.0,-1e+200,271159515.651,253594.083051,271145482.566,271564533.618,270781393.487,270784156.446,271557169.589,13.0,64309958958.4,0.115384615385,0.0821727019499,0.166666666667,0.00158024426827,1.7855867438e-06,8
203.0,-203.0,-420.0,-203.0,1000.0,-203.0,-1e+200,273008474.162,284818.086113,272916546.47,273698620.579,272611600.417,272719028.313,273423030.671,20.0,81121342177.0,0.115384615385,0.139275766017,0.166666666667,0.00267838011571,1.7855867438e-06,6
203.0,-203.0,-400.0,-203.0,600.0,-203.0,-1e+200,275487746.338,258209.500085,275407382.98,275872140.227,275251400.567,275254677.952,275835020.463,6.0,66672145934.2,0.115384615385,0.139275766017,0.333333333333,0.00535676023141,1.7855867438e-06,11
203.0,-203.0,-400.0,-203.0,500.0,-203.0,-1e+200,275065434.701,246465.223445,275074070.688,275452181.957,274724857.239,274768033.552,275389951.376,7.0,60745106367.7,0.115384615385,0.0696378830084,0.333333333333,0.00267838011571,1.7855867438e-06,10
203.0,-203.0,-400.0,-203.0,700.0,-203.0,-1e+200,275439842.435,261752.609119,275429296.546,275818298.611,275101683.899,275125393.071,275801429.321,8.0,68514428380.7,0.115384615385,0.139275766017,0.333333333333,0.00535676023141,1.7855867438e-06,12
