"Eastern Date Hour","Gen Name","Gen PTID","DAM Gen LBMP","DAM Gen Losses","DAM Gen Congestion","DAM Gen Price Version"
"2013/01/01 00:00:00","FITZPATRICK____","23598","28.46","-1.07","-1.47","1"
"2013/01/01 01:00:00","FITZPATRICK____","23598","28.12","-1.04","-1.1","1"
"2013/01/01 02:00:00","FITZPATRICK____","23598","28.74","-1.09","-1.08","1"
"2013/01/01 03:00:00","FITZPATRICK____","23598","28.99","-1.11","-0.93","1"
"2013/01/01 04:00:00","FITZPATRICK____","23598","28.33","-1.05","-1.07","1"
"2013/01/01 05:00:00","FITZPATRICK____","23598","28.74","-1.06","-1.01","1"
"2013/01/01 06:00:00","FITZPATRICK____","23598","25.9","-0.94","-1.52","1"
"2013/01/01 07:00:00","FITZPATRICK____","23598","26.41","-0.93","-1.5","1"
"2013/01/01 08:00:00","FITZPATRICK____","23598","27.31","-0.96","-1.63","1"
"2013/01/01 09:00:00","FITZPATRICK____","23598","27.69","-0.97","-1.81","1"
"2013/01/01 10:00:00","FITZPATRICK____","23598","28.27","-1.01","-1.86","1"
"2013/01/01 11:00:00","FITZPATRICK____","23598","28.34","-1.02","-1.86","1"
"2013/01/01 12:00:00","FITZPATRICK____","23598","28.78","-1.1","-1.73","1"
"2013/01/01 13:00:00","FITZPATRICK____","23598","28.97","-1.11","-1.68","1"
"2013/01/01 14:00:00","FITZPATRICK____","23598","28.94","-1.11","-1.66","1"
"2013/01/01 15:00:00","FITZPATRICK____","23598","30.45","-1.21","-1.55","1"
"2013/01/01 16:00:00","FITZPATRICK____","23598","30.27","-1.1","-2.39","1"
"2013/01/01 17:00:00","FITZPATRICK____","23598","34.4","-1.14","-3.87","1"
"2013/01/01 18:00:00","FITZPATRICK____","23598","33.52","-1.11","-3.67","1"
"2013/01/01 19:00:00","FITZPATRICK____","23598","32.72","-1.14","-3","1"
"2013/01/01 20:00:00","FITZPATRICK____","23598","32.17","-1.17","-2.57","1"
