SteamGen_capacity,Converter1_capacity,NewBOP_capacity,Charger_capacity,TES_capacity,Convert2_capacity,Grid_capacity,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-TES_capacity,ProbabilityWeight-NewBOP_capacity,PointProbability,ProbabilityWeight,ProbabilityWeight-Charger_capacity,prefix
203.0,-203.0,-400.0,-203.0,600.0,-203.0,-1e+200,304325773.531,129580.539631,304310776.729,304526179.046,304194226.525,304202483.238,304493378.291,5.0,16791116251.0,0.0809061488673,0.166666666667,8.98957209637e-06,0.00674217907228,0.5,1
203.0,-203.0,-400.0,-203.0,700.0,-203.0,-1e+200,304890666.715,220961.048764,304873497.022,305176912.215,304602796.661,304628713.036,305157692.505,7.0,48823785070.9,0.161812297735,0.166666666667,8.98957209637e-06,0.0134843581446,0.5,2
203.0,-203.0,-400.0,-203.0,800.0,-203.0,-1e+200,305270624.049,476569.49539,305352493.993,305965938.922,304430357.214,304599256.327,305860715.823,9.0,227118483936.0,0.161812297735,0.166666666667,8.98957209637e-06,0.0134843581446,0.5,3
203.0,-203.0,-400.0,-203.0,900.0,-203.0,-1e+200,304895251.494,420912.309883,304944152.02,305514579.318,304155051.709,304317991.386,305473517.792,10.0,177167172611.0,0.161812297735,0.166666666667,8.98957209637e-06,0.0134843581446,0.5,4
203.0,-203.0,-400.0,-203.0,1000.0,-203.0,-1e+200,305296746.389,417883.070331,305369187.978,305825826.007,304511309.062,304705271.644,305793833.125,11.0,174626260469.0,0.161812297735,0.166666666667,8.98957209637e-06,0.0134843581446,0.5,5
203.0,-203.0,-400.0,-203.0,1100.0,-203.0,-1e+200,304987092.394,496079.289712,304845276.993,305679062.019,304329149.615,304398894.032,305631708.501,9.0,246094661681.0,0.161812297735,0.166666666667,8.98957209637e-06,0.0134843581446,0.5,6
203.0,-203.0,-400.0,-203.0,1200.0,-203.0,-1e+200,304758436.149,293135.791461,304682351.172,305314882.557,304281091.461,304434250.489,305239351.536,12.0,85928592235.2,0.0954692556634,0.166666666667,8.98957209637e-06,0.00795577130529,0.5,7
203.0,-203.0,-400.0,-203.0,1218.0,-203.0,-1e+200,304438069.774,508112.45903,304491072.493,305100802.836,303483946.141,303737413.871,305092607.516,11.0,258178271022.0,0.0145631067961,0.166666666667,8.98957209637e-06,0.00121359223301,0.5,8
203.0,-203.0,-380.0,-203.0,600.0,-203.0,-1e+200,301297394.191,487991.234278,301426800.904,301742316.331,300317067.611,300544652.064,301717745.556,7.0,238135444732.0,0.0809061488673,0.333333333333,8.98957209637e-06,0.0134843581446,0.5,9
203.0,-203.0,-380.0,-203.0,700.0,-203.0,-1e+200,301328438.762,479561.223243,301441005.861,301848099.598,300515826.524,300660433.791,301793684.481,6.0,229978966838.0,0.161812297735,0.333333333333,8.98957209637e-06,0.0269687162891,0.5,10
