SteamGen_capacity,Converter1_capacity,NewBOP_capacity,Charger_capacity,TES_capacity,Convert2_capacity,Grid_capacity,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-NewBOP_capacity,ProbabilityWeight,PointProbability,ProbabilityWeight-TES_capacity,prefix,ProbabilityWeight-Charger_capacity
203.0,-203.0,-400.0,-195.0,300.0,-203.0,-1e+200,295767257.47,324139.904759,295725364.803,296296713.003,295040334.378,295369577.777,296260348.751,14.0,105066677857.0,0.0357142857143,5.95238095238e-05,4.7619047619e-08,0.05,1,0.0333333333333
203.0,-203.0,-400.0,-195.0,400.0,-203.0,-1e+200,300482709.147,354083.699732,300495705.1,301273666.744,299905580.463,299951552.451,300964253.897,14.0,125375266416.0,0.0357142857143,0.000119047619048,4.7619047619e-08,0.1,2,0.0333333333333
203.0,-203.0,-400.0,-195.0,500.0,-203.0,-1e+200,302531810.738,417096.170192,302568156.204,303122366.057,301624968.335,301917568.955,303025460.986,17.0,173969215189.0,0.0357142857143,0.000119047619048,4.7619047619e-08,0.1,3,0.0333333333333
203.0,-203.0,-400.0,-195.0,600.0,-203.0,-1e+200,303630397.914,484834.816908,303624672.505,304777782.937,302888716.007,302942875.772,304334455.811,17.0,235064799686.0,0.0357142857143,0.000119047619048,4.7619047619e-08,0.1,4,0.0333333333333
203.0,-203.0,-400.0,-195.0,700.0,-203.0,-1e+200,304128029.279,414474.859531,303992095.586,305058389.196,303542110.716,303614917.109,304903941.004,18.0,171789409183.0,0.0357142857143,0.000119047619048,4.7619047619e-08,0.1,5,0.0333333333333
203.0,-203.0,-400.0,-195.0,800.0,-203.0,-1e+200,304536177.47,592207.658468,304624027.776,305251274.735,303336789.29,303494806.526,305215937.415,16.0,350709910749.0,0.0357142857143,0.000119047619048,4.7619047619e-08,0.1,6,0.0333333333333
203.0,-203.0,-400.0,-195.0,900.0,-203.0,-1e+200,304591631.635,403160.089713,304557980.831,305634152.903,303713793.656,304062790.383,305106665.957,20.0,162538057937.0,0.0357142857143,0.000119047619048,4.7619047619e-08,0.1,7,0.0333333333333
203.0,-203.0,-400.0,-195.0,1000.0,-203.0,-1e+200,304346520.302,450254.681739,304217336.202,305581443.943,303734416.394,303839666.537,304998108.32,19.0,202729278428.0,0.0357142857143,0.000119047619048,4.7619047619e-08,0.1,8,0.0333333333333
203.0,-203.0,-400.0,-195.0,1100.0,-203.0,-1e+200,304227439.163,403140.764765,304187609.872,304902336.392,303464582.965,303673531.185,304877518.197,20.0,162522476216.0,0.0357142857143,0.000119047619048,4.7619047619e-08,0.1,9,0.0333333333333
203.0,-203.0,-400.0,-195.0,1200.0,-203.0,-1e+200,303995262.987,432471.103474,304109138.41,304739758.587,303242989.91,303264025.28,304670278.316,20.0,187031255340.0,0.0357142857143,7.02380952381e-05,4.7619047619e-08,0.059,10,0.0333333333333
