HOUR,LP_D
0,20.9354256577
1,22.9986308052
2,34.7766066167
3,20.8394163846
4,22.4169832863
5,36.2099181299
6,21.2356075336
7,35.2150386229
8,20.5992735531
9,19.6349877521
10,18.7046875524
11,21.0211472017
12,21.0693180261
13,20.3627969162
14,21.085893957
15,37.9785371811
16,34.7729018823
17,23.0189720049
18,22.9584373082
19,20.9211431694
20,20.4225385201
21,37.2713558619
22,23.2535181254
23,21.8334709242
24,33.9915102261
25,21.6094634715
26,37.9783792161
27,36.7900406963
28,23.083621522
29,21.0247718733
30,22.9701226841
31,37.8752922633
32,21.8480908201
33,21.8364894437
34,37.812135923
35,36.5636011948
36,37.9429187766
37,22.1645495752
38,38.0443759347
39,38.0316490086
40,38.0500672834
41,38.0484745179
42,38.0468690169
43,38.0452646374
44,38.0436541612
45,38.0396507883
46,38.0295531607
47,38.0098660313
48,38.0140202861
49,37.9067606273
50,37.9972804416
51,38.0197822024
52,38.0294393757
53,37.8919661888
54,37.567021596
55,37.5990152019
56,38.0105791271
57,36.0688159519
58,34.3675912553
59,34.6335511806
60,21.958513419
61,37.9880103235
62,19.55715887
63,21.1620483897
64,23.0643670256
65,23.2516816888
66,23.0426451216
67,36.7345789941
68,22.0803510042
69,20.8254204964
70,22.4864967749
71,37.9917707677
72,37.9703261024
73,37.9783685624
74,37.7853405736
75,37.7832328789
76,33.4639521307
77,37.5506110674
78,37.849807538
79,35.9649455332
80,21.9175058922
81,37.7601386346
82,21.0503139447
83,35.5246673174
84,22.1114521831
85,21.8411913129
86,21.0443561693
87,21.6195545674
88,21.6411932104
89,18.5793272384
90,15.9195922494
91,20.3016724869
92,19.857307599
93,19.2344333367
94,19.9666349354
95,15.0560043773
96,15.8094986092
97,18.3777064786
98,20.1268343628
99,15.7556883538
100,16.0028477273
101,15.5465907501
102,15.895027587
103,15.733022407
104,14.7529133067
105,16.2324481274
106,14.8771614794
107,14.8708466291
108,15.0268178818
109,17.9785008287
110,17.6059836541
111,18.9372360586
112,35.1228419627
113,21.9089408089
114,19.8388548511
115,17.8311718182
116,14.8888920357
117,14.7375326481
118,14.7024853665
119,14.7251124118
120,19.7280226107
121,23.3404993027
122,21.577926434
123,21.8686676587
124,37.8418999252
125,36.6070550499
126,37.7770269852
127,35.2823325582
128,37.8039959405
129,37.2182961351
130,37.7436799695
131,37.2357310453
132,35.0881772484
133,35.3504375622
134,36.7061458228
135,37.6411601852
136,36.2380250945
137,21.7865276268
138,21.7720574039
139,20.1707733498
140,22.9356661509
141,36.8595453969
142,37.5859029868
143,35.5334255876
144,21.9008164725
145,18.3633981538
146,21.9531465083
147,21.8599790101
148,15.662212051
149,14.8199424706
150,16.6788002643
151,18.0677061558
152,17.4662982704
153,16.8848265083
154,20.324674845
155,21.0072118334
156,18.7404826354
157,16.2435455435
158,19.1261074562
159,18.7596104305
160,20.7257757341
161,23.2362094346
162,19.0296750517
163,20.937863217
164,16.6694946174
165,14.9140218469
166,18.362824326
167,16.4679929108
168,17.092739341
169,19.4726713658
170,15.7219539992
171,19.4967569145
172,19.6768994487
173,14.6186581772
174,14.5592159766
175,14.5674372371
176,15.850985182
177,15.20347727
178,21.7164227378
179,18.1236460207
180,20.9330736007
181,35.7234348092
182,21.222953057
183,36.3981205862
184,20.525727899
185,36.8715250461
186,37.1099634678
187,36.7659153295
188,22.658663389
189,36.8676924371
190,37.5247221367
191,37.6130932136
192,37.1744505605
193,37.2907975319
194,34.7156515338
195,20.984711393
196,32.8953253797
197,18.6235806765
198,18.6724630775
199,37.4733760688
200,35.3745790013
201,35.4874440654
202,21.7810174876
203,23.0310894777
204,19.1827973884
205,16.9138355441
206,21.7426396293
207,20.3059622295
208,23.0565328658
209,21.0242344115
210,21.7588459531
211,32.705350441
212,35.2541545321
213,36.4122177833
214,21.4784338219
215,18.7615834923
216,16.549172071
217,19.9646682464
218,19.779031198
219,32.9461067726
220,34.1526800532
221,37.4952532175
222,37.4940965195
223,35.5722082026
224,23.0943854314
225,21.8230894388
226,35.4689251504
227,37.4485480075
228,37.4567271928
229,37.4607904032
230,20.7979461984
231,18.2018088453
232,16.2250180486
233,21.2092939151
234,19.6454804867
235,19.6671823899
236,18.6726782429
237,19.7611413028
238,17.5435898579
239,15.0285361682
240,22.0125074463
241,30.2620136137
242,21.6149534851
243,30.8027619049
244,29.9678322861
245,26.487876374
246,25.7966305783
247,21.0879493347
248,21.459885679
249,20.7077590631
250,28.0884573695
251,20.9440214111
252,22.1933313676
253,25.6737923423
254,29.9830435524
255,23.1904114667
256,25.8761272473
257,21.9125651444
258,29.5802742617
259,30.9934105688
260,29.8353463977
261,29.5377380469
262,30.5612592973
263,30.9546593959
264,30.5919468658
265,30.9376218528
266,26.0308078692
267,28.6302658902
268,21.213637105
269,21.1496285173
270,20.6846391094
271,21.4365512995
272,19.6751492012
273,21.0410283855
274,29.0905880855
275,25.8503744958
276,20.6184159246
277,19.5893458097
278,21.1149198393
279,21.0469553312
280,21.0111593077
281,19.8834833644
282,21.929928775
283,20.3973348886
284,20.2020850996
285,21.5673991438
286,29.1541952509
287,21.2403088912
288,21.3020850328
289,21.2000899903
290,27.8227405788
291,22.0589099158
292,21.2183517497
293,22.1001807141
294,21.4365963539
295,23.1534230125
296,16.8285431745
297,19.1185777283
298,20.546556389
299,21.4437348288
300,17.8910128207
301,19.7664714469
302,21.0031065692
303,20.7246027306
304,18.8134597488
305,21.2332129547
306,21.1516350565
307,21.125946878
308,21.0423193356
309,22.0927900531
310,20.9315401769
311,21.1440598364
312,21.3796601817
313,21.2861772153
314,22.042478729
315,21.1775113124
316,20.6909603808
317,20.9045340812
318,28.9621564836
319,28.4892034693
