HOUR,HP_D
0,103.387564963
1,101.443464643
2,99.5034696954
3,99.294518842
4,97.7710566142
5,100.972481531
6,86.2866143013
7,103.313759283
8,84.0692156076
9,101.096989239
10,90.3303851416
11,102.654216899
12,81.1498609826
13,82.9965232031
14,90.432385704
15,80.9672701269
16,95.6783709723
17,92.9928888933
18,81.9365350106
19,82.5827523945
20,83.2677628746
21,83.0258780819
22,96.7902533787
23,91.0583917415
24,98.2997846708
25,82.8160293427
26,81.9617455515
27,97.9871897822
28,83.7084507871
29,80.6351020058
30,84.4585896753
31,99.7781232849
32,103.69510617
33,102.064364746
34,91.7177086706
35,98.9001705561
36,97.9954231238
37,101.713786621
38,103.044954648
39,103.154232002
40,103.601421262
41,104.976002103
42,105.476901715
43,102.53116102
44,105.187945444
45,102.487578203
46,102.206460112
47,104.179727176
48,101.07272175
49,105.427460367
50,103.532446134
51,105.249907814
52,99.5112588323
53,103.727556639
54,97.8021449758
55,101.154832457
56,99.8364281628
57,100.442339075
58,101.559152899
59,102.432902832
60,96.2066335974
61,80.4211766079
62,81.3663017366
63,91.7007469938
64,101.049789931
65,89.3504789118
66,94.5090797959
67,83.74223021
68,98.2825416459
69,99.2017603799
70,100.029770949
71,98.0681863292
72,97.9382921206
73,98.2441870372
74,96.966986114
75,100.982424756
76,104.53498384
77,99.7719513385
78,101.566261907
79,98.45528155
80,101.727109082
81,100.352395288
82,102.321358553
83,95.3382033159
84,101.464734826
85,102.253668443
86,101.405010284
87,101.994236868
88,102.984222274
89,96.3726504061
90,101.663737178
91,102.435427397
92,97.7888980137
93,103.011249922
94,103.40030629
95,96.4464643456
96,96.256555757
97,103.322384506
98,101.971548776
99,100.275030696
100,102.002440232
101,102.681603031
102,97.9301274428
103,97.8008672319
104,79.9144659652
105,97.3139569914
106,81.3297912246
107,96.0323570884
108,80.3643588973
109,95.9721253548
110,80.1975792967
111,96.4408583732
112,80.0640389514
113,98.4417266509
114,81.5840608082
115,97.879477487
116,81.9511989908
117,96.1871653348
118,94.8087529497
119,100.600206442
120,82.6681926412
121,97.4838207969
122,102.074514656
123,99.4296878003
124,101.04837501
125,96.5707379361
126,97.0618667605
127,82.675343049
128,99.9427092168
129,104.287313482
130,102.746517649
131,99.0782281287
132,96.0716400434
133,99.1838731997
134,99.1126845813
135,98.3215850699
136,102.160310782
137,95.5066179932
138,96.5108200957
139,100.251905534
140,94.9572934112
141,96.2294708687
142,99.3478421885
143,100.299620695
144,81.3449203523
145,95.6907186147
146,101.975994039
147,102.563109825
148,101.378644609
149,102.760544142
150,102.439251216
151,100.209864211
152,101.273559562
153,100.88850243
154,101.242754035
155,101.029563291
156,102.613893199
157,102.438248895
158,99.1761205225
159,95.3506169363
160,96.8400223867
161,101.903895993
162,102.418294876
163,100.017098565
