HOUR,E_D
0,184.242520728
1,183.336792779
2,187.570696055
3,185.929214355
4,182.714812611
5,185.258849843
6,181.607719373
7,186.381609424
8,182.636089939
9,186.01024379
10,189.472134325
11,185.91356711
12,184.545640153
13,186.56044089
14,185.526857325
15,181.845248954
16,185.321247215
17,183.172064739
18,189.716446754
19,185.092793961
20,187.820410884
21,184.103098731
22,183.056586884
23,187.786910709
24,185.853397528
25,186.200710739
26,189.497759917
27,191.317529328
28,186.983064788
29,184.671896502
30,191.090068484
31,185.731709358
32,187.487178082
33,189.513654917
34,190.436156741
35,186.99803382
36,190.698819092
37,191.00038552
38,188.395338847
39,188.338493101
40,190.481213599
41,187.935508949
42,183.547907298
43,186.662801876
44,188.017514636
45,191.08971217
46,188.348525861
47,187.279180693
48,185.772630617
49,187.644716638
50,187.247731042
51,187.451443887
52,190.892111147
53,188.977594034
54,188.113192872
55,191.25172405
56,190.230499976
57,188.779511796
58,191.362863509
59,192.666254236
60,191.257702035
61,187.912763068
62,188.210095868
63,189.237605962
64,192.799949742
65,188.61519245
66,186.262562936
67,186.336247656
68,188.145792539
69,185.577660106
70,185.76261027
71,187.602842006
72,186.02091804
73,186.00923243
74,186.20674613
75,186.651219006
76,189.218950063
77,185.813470748
78,187.82501992
79,186.240880534
80,186.060298114
81,185.914328628
82,185.989452531
83,186.041293317
84,188.100185805
85,187.27426898
86,186.0969777
87,188.508089411
88,189.826134178
89,188.894724689
90,187.469355613
91,186.448303435
92,188.955332802
93,186.419971291
94,191.61906211
95,186.446922694
96,188.755125198
97,189.325536067
98,188.884153108
99,188.855942157
100,188.964824938
101,188.661817399
102,192.466789168
103,188.964858797
104,189.051628805
105,188.729880853
106,189.260780344
107,189.20001829
108,190.099809303
109,188.947912572
110,188.84923927
111,187.617600066
112,190.544002757
113,190.943852889
114,193.575801211
115,188.992993777
116,189.787940865
117,189.900903309
118,190.446739769
119,193.30003435
120,191.519233781
121,188.589932056
122,193.388003729
123,190.920912502
124,193.401111571
125,189.64621421
126,189.483559149
127,191.32393191
128,188.268804004
129,189.892626065
130,188.680719929
131,188.015820183
132,193.859280022
133,189.25581908
134,189.812031582
135,188.020793785
136,188.094994587
137,188.833800858
138,188.758271938
139,191.274381251
140,188.111037399
141,189.134698431
142,189.178323696
143,193.821601439
144,191.803790284
145,192.446402158
146,188.934959557
147,189.947882913
148,192.250478509
149,190.420067102
150,190.257104367
151,188.43746693
152,190.363744071
153,188.516106654
154,189.981258355
155,190.52062473
156,189.452754824
157,188.840651412
158,190.802448463
159,190.393197588
160,189.820494866
161,194.649900729
162,194.984868953
163,192.555199622
164,190.183973793
165,190.447897178
166,191.763325075
167,189.596655929
168,189.610304594
169,191.355192119
170,190.367454357
171,191.073126721
172,191.511252215
173,192.088603875
174,191.110160501
175,191.547271165
176,192.397113174
177,193.310923543
178,192.551738876
179,195.91399192
180,193.18333907
181,197.504536198
182,191.975295662
183,192.460244271
184,197.368527021
185,196.652969965
186,192.177216666
187,193.379293645
188,191.888772314
189,191.952878391
190,196.004946548
191,192.273344861
192,192.165064455
193,193.466747433
194,193.30497851
195,190.886776068
196,190.900427603
197,191.668610163
198,196.518236878
199,193.649836063
200,190.325750304
201,189.875435018
202,193.731566805
203,192.485433594
204,191.223863394
205,190.435017797
206,191.297630853
207,191.329855082
208,190.45178684
209,192.723498543
210,192.293571693
211,191.912682667
212,190.060265
213,191.382138212
214,191.2018422
215,190.844279171
216,190.81629771
217,190.527584293
218,190.237624411
219,192.033663837
220,190.458373097
221,190.683566834
222,192.999816236
223,193.06960905
224,193.038587982
