HOUR,IP_D
0,31.3901405131
1,32.5096757727
2,18.6749049377
3,16.4340305156
4,19.6195910091
5,30.6464284144
6,23.3132069758
7,31.4547378286
8,22.225446188
9,31.8126989228
10,20.996260014
11,28.4921266648
12,9.95894400812
13,20.1216777868
14,6.68210269705
15,18.844106704
16,6.70898198942
17,6.28674404863
18,17.9360440967
19,17.2732461436
20,15.4372883817
21,6.03413139053
22,5.94414097331
23,5.77607378874
24,4.08379855898
25,5.98656372993
26,5.638997907
27,5.60121696645
28,16.4286207325
29,6.06353731329
30,17.2491366111
31,6.81432113028
32,19.2941815778
33,21.2246852989
34,19.4825506689
35,7.24880437568
36,20.5017558887
37,29.8848127124
38,22.0659696022
39,7.47894328831
40,6.05921474059
41,16.564673621
42,19.5976801832
43,7.55013016373
44,7.2234829663
45,16.3832161666
46,6.43472131312
47,7.07504665626
48,19.75916035
49,33.4498854624
50,23.7764390092
51,7.42989964366
52,17.6164270761
53,16.9482828731
54,6.41839891541
55,15.4773870463
56,17.9359487996
57,17.7618239358
58,16.7999224776
59,14.0115676889
60,6.26969615378
61,21.1625320913
62,30.9836823297
63,18.1824027549
64,22.1380238453
65,11.1450238706
66,12.2663504416
67,7.43717194684
68,19.1029388758
69,7.41505147526
70,16.5249238362
71,8.02948904198
72,21.1249555402
73,20.5024379577
74,15.9043388165
75,24.5828032599
76,33.5335355042
77,21.1733881024
78,17.6661218889
79,22.7208378244
80,19.1539823177
81,20.014303213
82,30.4286179015
83,21.1252949002
84,20.9103640076
85,24.6412613966
86,32.8604905454
87,21.8360126081
88,34.0734805834
89,26.4904841337
90,20.554964836
91,20.3836047668
92,18.8050676281
93,30.4085379539
94,20.250840072
95,32.8387141129
96,9.32049367458
97,26.0282773014
98,34.1502233619
99,34.2896608085
100,33.589140203
101,23.8865887368
102,31.1989371191
103,32.8563069059
104,34.1842672731
105,28.370964692
106,34.0389934712
107,34.3398267824
108,33.4863038619
109,33.6329586702
110,23.6056028858
111,22.6736412127
112,24.1401782461
113,23.2480657106
114,29.5998680707
115,10.1627972577
116,12.4381130319
117,26.1913716726
118,27.7109139267
119,32.8433584758
120,18.4485662883
121,22.6617552017
122,22.599216899
123,27.6100720157
124,12.5447636025
125,21.6869487576
126,9.12789074237
127,10.860041527
128,34.6215794285
129,24.5485299329
130,21.1240790031
131,20.1027276493
132,9.62087507328
133,34.7231467992
134,31.8797885415
135,9.42852570644
136,26.136858662
137,24.4848429664
138,20.6835502229
139,25.3949542602
140,9.12622161216
141,22.3011414547
142,8.9871259601
