iteration,accepted,SteamGen_capacity,Converter1_capacity,NewBOP_capacity,Charger_capacity,TES_capacity,Convert2_capacity,Grid_capacity,mean_NPV,std_NPV,med_NPV
47.0,rerun,203.0,-203.0,-405.859392062,-200.977182273,768.974085341,-203.0,-1e+200,282840331.626,466314.404992,282841784.716
48.0,rejected,203.0,-203.0,-405.840307658,-200.981192699,768.621319293,-203.0,-1e+200,282606022.754,346676.554966,282647783.031
49.0,rerun,203.0,-203.0,-405.859392062,-200.977182273,768.974085341,-203.0,-1e+200,282744350.566,344151.923012,282786423.236
50.0,rejected,203.0,-203.0,-405.88245172,-200.970819234,769.069043483,-203.0,-1e+200,282583237.597,379078.645068,282500738.455
51.0,rerun,203.0,-203.0,-405.859392062,-200.977182273,768.974085341,-203.0,-1e+200,282681021.031,427971.316794,282696875.844
52.0,rejected,203.0,-203.0,-405.848746962,-200.975849047,769.132521911,-203.0,-1e+200,282748269.062,460206.318179,282793063.496
53.0,rerun,203.0,-203.0,-405.859392062,-200.977182273,768.974085341,-203.0,-1e+200,282760047.134,537632.586332,282633423.596
54.0,rejected,203.0,-203.0,-405.86799373,-200.975869711,768.87646663,-203.0,-1e+200,282559686.375,311656.540632,282632993.436
55.0,rerun,203.0,-203.0,-405.859392062,-200.977182273,768.974085341,-203.0,-1e+200,282796950.452,379793.871149,282775880.833
56.0,rejected,203.0,-203.0,-405.844665901,-200.977680901,768.988591012,-203.0,-1e+200,282769999.059,253747.226468,282793214.13
57.0,rerun,203.0,-203.0,-405.859392062,-200.977182273,768.974085341,-203.0,-1e+200,282848302.302,397135.104248,282849249.533
58.0,rejected,203.0,-203.0,-405.864118717,-200.975874727,768.987034514,-203.0,-1e+200,282762261.787,306238.634756,282815600.46
59.0,rerun,203.0,-203.0,-405.859392062,-200.977182273,768.974085341,-203.0,-1e+200,282749732.082,412979.498323,282766187.189
60.0,accepted,203.0,-203.0,-405.857524988,-200.976505832,768.950179634,-203.0,-1e+200,282806791.725,464408.900381,282855040.187
61.0,rejected,203.0,-203.0,-405.865052465,-200.976113556,768.941095417,-203.0,-1e+200,282739406.53,276204.285468,282731043.206
62.0,rerun,203.0,-203.0,-405.857524988,-200.976505832,768.950179634,-203.0,-1e+200,282732670.59,322955.256347,282840632.898
63.0,rejected,203.0,-203.0,-405.854207445,-200.976680535,768.970992871,-203.0,-1e+200,282575275.846,319471.188842,282535894.921
64.0,rerun,203.0,-203.0,-405.857524988,-200.976505832,768.950179634,-203.0,-1e+200,282699168.883,351773.6271,282663756.283
65.0,accepted,203.0,-203.0,-405.857236518,-200.976671257,768.932934202,-203.0,-1e+200,282753186.645,359154.045535,282689438.778
66.0,accepted,203.0,-203.0,-405.855334733,-200.976968014,768.929392297,-203.0,-1e+200,282796225.85,287772.201185,282853708.639
67.0,rejected,203.0,-203.0,-405.856328551,-200.976566195,768.915287422,-203.0,-1e+200,282711633.954,349909.344191,282712087.648
68.0,rerun,203.0,-203.0,-405.855334733,-200.976968014,768.929392297,-203.0,-1e+200,282841379.779,344365.208648,282808083.404
69.0,rejected,203.0,-203.0,-405.8571635,-200.976899869,768.938897993,-203.0,-1e+200,282738567.838,424880.279129,282759066.305
70.0,rerun,203.0,-203.0,-405.855334733,-200.976968014,768.929392297,-203.0,-1e+200,282812862.413,368276.937526,282864392.052
71.0,accepted,203.0,-203.0,-405.8556171,-200.976857341,768.921391701,-203.0,-1e+200,282893046.039,303683.982039,282892335.072
72.0,rejected,203.0,-203.0,-405.856143955,-200.976710291,768.926282782,-203.0,-1e+200,282810366.381,371805.56977,282778609.477
73.0,rerun,203.0,-203.0,-405.8556171,-200.976857341,768.921391701,-203.0,-1e+200,282684705.12,372578.401715,282690844.443
74.0,rejected,203.0,-203.0,-405.854863129,-200.976763971,768.922096253,-203.0,-1e+200,282759130.747,460497.472945,282666772.775
75.0,rerun,203.0,-203.0,-405.8556171,-200.976857341,768.921391701,-203.0,-1e+200,282771527.508,483579.681161,282717251.646
76.0,rejected,203.0,-203.0,-405.855262914,-200.97684601,768.918641558,-203.0,-1e+200,282653096.521,449189.699772,282627894.857
77.0,rerun,203.0,-203.0,-405.8556171,-200.976857341,768.921391701,-203.0,-1e+200,282780315.564,401625.146868,282716453.256
78.0,rejected,203.0,-203.0,-405.855400346,-200.976913486,768.921767995,-203.0,-1e+200,282619805.138,373622.912022,282691089.48
79.0,rerun,203.0,-203.0,-405.8556171,-200.976857341,768.921391701,-203.0,-1e+200,282810797.464,505440.87448,282737297.986
80.0,accepted,203.0,-203.0,-405.855539809,-200.976819533,768.920756027,-203.0,-1e+200,282838362.629,414855.336858,282847297.537
81.0,rejected,203.0,-203.0,-405.855346766,-200.976803434,768.920629625,-203.0,-1e+200,282789241.528,444963.148816,282733485.91
82.0,rerun,203.0,-203.0,-405.855539809,-200.976819533,768.920756027,-203.0,-1e+200,282767383.827,450238.022774,282784762.559
83.0,rejected,203.0,-203.0,-405.855412629,-200.976808815,768.920625081,-203.0,-1e+200,282651069.71,398493.705979,282731918.707
84.0,rerun,203.0,-203.0,-405.855539809,-200.976819533,768.920756027,-203.0,-1e+200,282651087.915,342236.923778,282703429.042
85.0,rejected,203.0,-203.0,-405.855540744,-200.976827915,768.92034861,-203.0,-1e+200,282664821.671,419794.823442,282734690.978
86.0,rerun,203.0,-203.0,-405.855539809,-200.976819533,768.920756027,-203.0,-1e+200,282534783.555,288417.417894,282587928.321
87.0,accepted,203.0,-203.0,-405.855571888,-200.976812419,768.92091883,-203.0,-1e+200,282756390.718,420668.961599,282687533.914
88.0,rejected,203.0,-203.0,-405.855607903,-200.976816568,768.920987204,-203.0,-1e+200,282690840.179,431395.087709,282678788.884
89.0,rerun,203.0,-203.0,-405.855571888,-200.976812419,768.92091883,-203.0,-1e+200,282669629.806,369278.556788,282726958.697
90.0,rejected,203.0,-203.0,-405.855585403,-200.976808146,768.920906827,-203.0,-1e+200,282645686.744,451930.467889,282491135.426
91.0,rerun,203.0,-203.0,-405.855571888,-200.976812419,768.92091883,-203.0,-1e+200,282781301.558,361631.263978,282808834.905
92.0,accepted,203.0,-203.0,-405.855580434,-200.976812322,768.921015115,-203.0,-1e+200,282775413.149,435834.513243,282649741.977
93.0,rejected,203.0,-203.0,-405.855563277,-200.976814201,768.921060342,-203.0,-1e+200,282714090.119,338880.4847,282733236.43
94.0,rerun,203.0,-203.0,-405.855580434,-200.976812322,768.921015115,-203.0,-1e+200,282712845.341,431622.294122,282739683.383
95.0,accepted,203.0,-203.0,-405.855588432,-200.976812472,768.921080687,-203.0,-1e+200,282796303.322,344065.47787,282775470.837
96.0,accepted,203.0,-203.0,-405.855582227,-200.976812862,768.92101205,-203.0,-1e+200,282803435.94,363817.756462,282806955.06
97.0,rejected,203.0,-203.0,-405.855585248,-200.976812545,768.921060342,-203.0,-1e+200,282693202.89,449019.140876,282594991.2
98.0,rerun,203.0,-203.0,-405.855582227,-200.976812862,768.92101205,-203.0,-1e+200,282605631.107,419408.336502,282650921.79
99.0,accepted,203.0,-203.0,-405.855587651,-200.976812509,768.921029749,-203.0,-1e+200,282816434.059,400621.862757,282777296.976
100.0,rejected,203.0,-203.0,-405.855593368,-200.976811064,768.921048758,-203.0,-1e+200,282776280.379,214428.907102,282798428.155
