turbine_capacity,elec_market_capacity,scenario_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,PointProbability,prefix,ProbabilityWeight-turbine_capacity,ProbabilityWeight
300.0,-1e+200,baseline_low,680465456.392,nan,680465456.392,680465456.392,680465456.392,680465456.392,680465456.392,1.0,nan,0.00142857142857,1,0.5,0.5
1000.0,-1e+200,baseline_low,2268218187.97,nan,2268218187.97,2268218187.97,2268218187.97,2268218187.97,2268218187.97,1.0,nan,0.00142857142857,2,0.5,0.5
