npp_capacity,elec_market_capacity,location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,PointProbability,prefix,ProbabilityWeight-npp_capacity,ProbabilityWeight
1193.0,-1e+200,braidwood,2162947057.57,15334997.6235,2162536555.59,2196735191.34,2137161857.86,2145842929.13,2189423194.62,25.0,2.35162152112e+14,0.000838222967309,1,0.5,0.5
2386.0,-1e+200,braidwood,4317656000.38,31405434.896,4314219638.22,4379469628.57,4274385726.16,4277003294.54,4370593716.19,25.0,9.86301341008e+14,0.000838222967309,2,0.5,0.5
