turbine_capacity,elec_market_capacity,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,prefix,ProbabilityWeight,PointProbability,ProbabilityWeight-turbine_capacity
50.0,-1e+200,196640626.401,509128.031318,196642279.721,198061119.549,195208811.393,195831145.612,197429715.966,500.0,259211352273.0,1,0.131578947368,0.00105263157895,0.131578947368
300.0,-1e+200,1186577665.63,18944070.8516,1180361490.37,1288360481.35,1170733631.23,1175314696.47,1233265580.16,500.0,3.58877820431e+14,2,0.5,0.00105263157895,0.5
1000.0,-1e+200,3908604219.79,10107390.0998,3908054846.03,3937527995.73,3878285274.37,3892194910.07,3925307121.79,500.0,1.02159334629e+14,3,0.368421052632,0.00105263157895,0.368421052632
