SteamGen_capacity,Converter1_capacity,NewBOP_capacity,Charger_capacity,TES_capacity,Convert2_capacity,Grid_capacity,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight,PointProbability,ProbabilityWeight-TES_capacity,ProbabilityWeight-Charger_capacity,prefix,ProbabilityWeight-NewBOP_capacity
203.0,-203.0,-420.0,-203.0,1000.0,-203.0,-1e+200,462620718.308,6943114.94508,463037276.647,472563723.537,452532269.825,453246235.458,471326657.836,11.0,4.82068451406e+13,0.00267838011571,1.7855867438e-06,0.139275766017,0.115384615385,6,0.166666666667
203.0,-203.0,-420.0,-203.0,600.0,-203.0,-1e+200,451600583.332,9625862.49675,453784875.173,468229747.918,435236582.325,437155346.833,464251290.517,13.0,9.26572288063e+13,0.00267838011571,1.7855867438e-06,0.139275766017,0.115384615385,2,0.166666666667
203.0,-203.0,-420.0,-203.0,500.0,-203.0,-1e+200,446628273.59,8166396.01723,445719861.713,462952190.684,429139506.058,435206255.297,457103817.082,11.0,6.66900239103e+13,0.00133919005785,1.7855867438e-06,0.0696378830084,0.115384615385,1,0.166666666667
203.0,-203.0,-420.0,-203.0,700.0,-203.0,-1e+200,460380207.485,7969409.01172,459549188.471,473408962.215,447888348.379,449178406.905,471602316.844,14.0,6.35114799961e+13,0.00267838011571,1.7855867438e-06,0.139275766017,0.115384615385,3,0.166666666667
203.0,-203.0,-420.0,-203.0,1100.0,-203.0,-1e+200,455943352.438,9958035.5655,457013805.82,469379519.22,431843674.266,440622959.965,468684518.584,13.0,9.91624723238e+13,0.00267838011571,1.7855867438e-06,0.139275766017,0.115384615385,7,0.166666666667
203.0,-203.0,-420.0,-203.0,800.0,-203.0,-1e+200,458381793.035,9559660.14017,459287088.71,478127180.233,442656563.955,445062648.169,471358150.047,14.0,9.13871019956e+13,0.00267838011571,1.7855867438e-06,0.139275766017,0.115384615385,4,0.166666666667
203.0,-203.0,-420.0,-203.0,900.0,-203.0,-1e+200,459227915.112,6976482.12196,459417001.736,471662117.381,445487835.164,446777007.911,467683660.213,14.0,4.8671302798e+13,0.00267838011571,1.7855867438e-06,0.139275766017,0.115384615385,5,0.166666666667
203.0,-203.0,-420.0,-203.0,1200.0,-203.0,-1e+200,460391476.457,9855342.84058,460434271.658,473636322.344,442049346.336,444632244.054,471570630.705,15.0,9.71277825054e+13,0.00158024426827,1.7855867438e-06,0.0821727019499,0.115384615385,8,0.166666666667
203.0,-203.0,-400.0,-203.0,600.0,-203.0,-1e+200,448155076.176,10237970.3914,445938840.933,460656593.089,432124415.725,435357495.607,460568985.958,7.0,1.04816037734e+14,0.00535676023141,1.7855867438e-06,0.139275766017,0.115384615385,11,0.333333333333
203.0,-203.0,-400.0,-203.0,900.0,-203.0,-1e+200,454315823.209,3432461.2921,455592696.854,456711603.786,449366295.344,450156108.446,456687914.87,4.0,1.17817905217e+13,0.00535676023141,1.7855867438e-06,0.139275766017,0.115384615385,14,0.333333333333
203.0,-203.0,-400.0,-203.0,1000.0,-203.0,-1e+200,461809535.91,10537752.202,462156304.873,472169623.55,451102679.307,452208041.863,471168291.682,3.0,1.11044221472e+14,0.00535676023141,1.7855867438e-06,0.139275766017,0.115384615385,15,0.333333333333
203.0,-203.0,-400.0,-203.0,500.0,-203.0,-1e+200,445228169.018,9866095.8419,442228502.443,462246771.058,433457546.028,434976205.212,459065133.105,7.0,9.73398471616e+13,0.00267838011571,1.7855867438e-06,0.0696378830084,0.115384615385,10,0.333333333333
203.0,-203.0,-400.0,-203.0,1100.0,-203.0,-1e+200,455672735.792,8006166.91836,456002140.102,465130786.813,445555876.151,447067342.744,463816962.806,4.0,6.40987087246e+13,0.00535676023141,1.7855867438e-06,0.139275766017,0.115384615385,16,0.333333333333
203.0,-203.0,-400.0,-203.0,800.0,-203.0,-1e+200,455619728.994,9718235.80242,458141108.633,467556108.214,439843422.442,441501941.946,466164654.846,7.0,9.44441071114e+13,0.00535676023141,1.7855867438e-06,0.139275766017,0.115384615385,13,0.333333333333
203.0,-203.0,-400.0,-203.0,700.0,-203.0,-1e+200,453566027.567,7676920.8325,450507313.645,467023113.109,442983000.018,445090868.683,464461105.236,7.0,5.89351134684e+13,0.00535676023141,1.7855867438e-06,0.139275766017,0.115384615385,12,0.333333333333
203.0,-203.0,-420.0,-203.0,1218.0,-203.0,-1e+200,456000307.882,7798559.37353,455564211.892,474987104.495,437626101.625,446983304.554,465996997.794,14.0,6.08175283024e+13,0.000241054210414,1.7855867438e-06,0.0125348189415,0.115384615385,9,0.166666666667
203.0,-203.0,-380.0,-203.0,600.0,-203.0,-1e+200,426159958.959,2110455.41051,427344228.033,427412316.794,423723332.05,424085421.648,427405507.918,3.0,4.45402203974e+12,0.00535676023141,1.7855867438e-06,0.139275766017,0.115384615385,20,0.333333333333
203.0,-203.0,-380.0,-203.0,500.0,-203.0,-1e+200,438501163.569,9709950.49456,435735877.847,455139544.154,427526249.85,428929655.423,452287048.01,6.0,9.42831386068e+13,0.00267838011571,1.7855867438e-06,0.0696378830084,0.115384615385,19,0.333333333333
203.0,-203.0,-400.0,-203.0,1200.0,-203.0,-1e+200,449609441.958,13222693.2602,451811138.33,466223364.665,431190103.469,432742913.107,464472414.733,6.0,1.74839617053e+14,0.00316048853653,1.7855867438e-06,0.0821727019499,0.115384615385,17,0.333333333333
203.0,-203.0,-380.0,-203.0,800.0,-203.0,-1e+200,443971489.136,9075304.15427,443971489.136,450388698.245,437554280.027,438196000.938,449746977.334,2.0,8.23611454925e+13,0.00535676023141,1.7855867438e-06,0.139275766017,0.115384615385,22,0.333333333333
203.0,-203.0,-380.0,-203.0,700.0,-203.0,-1e+200,447978131.277,10719650.9441,450910889.552,457301363.948,425610744.626,430687902.594,457210278.076,8.0,1.14910916362e+14,0.00535676023141,1.7855867438e-06,0.139275766017,0.115384615385,21,0.333333333333
203.0,-203.0,-400.0,-203.0,1218.0,-203.0,-1e+200,457804030.628,15020713.2908,452262644.924,482265965.222,440984934.012,441983547.939,477890917.078,7.0,2.25621827765e+14,0.000482108420827,1.7855867438e-06,0.0125348189415,0.115384615385,18,0.333333333333
203.0,-203.0,-380.0,-203.0,900.0,-203.0,-1e+200,451540661.475,8872238.41069,452834609.646,466807256.254,437589319.877,439168947.882,463808771.858,10.0,7.87166144162e+13,0.00535676023141,1.7855867438e-06,0.139275766017,0.115384615385,23,0.333333333333
203.0,-203.0,-380.0,-203.0,1000.0,-203.0,-1e+200,440255738.515,12795382.5001,435268345.849,465314143.235,427367384.559,428950134.1,460962711.386,8.0,1.63721813323e+14,0.00535676023141,1.7855867438e-06,0.139275766017,0.115384615385,24,0.333333333333
203.0,-203.0,-380.0,-203.0,1100.0,-203.0,-1e+200,442086969.115,11454057.608,445326564.732,452002507.662,425692239.335,428388838.59,451249665.777,4.0,1.31195435688e+14,0.00535676023141,1.7855867438e-06,0.139275766017,0.115384615385,25,0.333333333333
